s0138	s0013	s0200	b0252	b0243	b0251	b0244	s0195	b0574	b0326	s0047	b0551	s0210	b0327	b0394	s0025	s0176	b0494	s0183	b0515	s0042	s0006	b0339	s0204	s0087	s0050	b0629	s0055	s0190	b0671	b0565	s1551	b0341	b0383	s1616	s0350	s0177	s0084	s0229	b0504	b0672	b0433	s0201	s0132	b0502	b0344	s0136	b0340	s0033	b0165	s0168	s0104	b0434	b0519	b0679	s0162	b0667	s0071	b0305	b0554	s0141	s0170	s0019	s0060	b0404	s0067	b0427	b0354	b0668	s0001	s0154	s0035	b0421	b0626	s0109	s0101	b0387	s0175	b0694	s0046	b0542	s0181	b0382	s0004	b0627	b0512	b0336	s0059	s0088	b0556	s0103	b0241	b0521	s0040	s0116	s0018	s0107	b0359	b0338	b0772	s0037	b0334	s0205	b0664	s0106	s1511	b0370	b0566	b0318	s0080	s0086	s0100	s0146	s0026	b0499	b0428	s0077	b0374
DST	-1.22793781326026	-0.371492386130531	0.0992264493298735	-0.108549723795514	1.37594725367278	-0.598361504894467	-0.744567205095854	-0.190946160018283	0.187997117890872	0.845829795746673	0.303915917180622	2.22157805557522	-0.413620334746324	-0.276265668946914	2.26347543102592	-0.839682354618942	-0.0133825093641792	-1.0717430885195	-0.660370810616549	0.0349783525531741	-0.553124537471929	-0.87568151974967	-1.12410551052783	-0.751945546378847	-1.03943309403027	-1.03216632040781	-0.616911487918441	-0.374608842781311	-1.1044472887426	-1.21920578436285	0.80604476800199	0.364757481389166	0.320360990342614	-1.42247462400286	-0.693283270472638	-0.426658875340161	-0.559416953525772	0.298642485759613	0.159986197254029	0.721000459302664	0.0375592844334143	-0.105269634575958	-0.200511227447645	-1.09800611580805	-0.620258517734315	-0.438581739328705	-0.567182062698598	1.00014274594651	1.13989239752528	1.46411545686692	2.70592302130824	1.64581454880464	2.2215111149789	1.44250851994445	1.46509725227958	1.98901154828026	0.711026310451361	1.37636377293875	0.91694302256793	1.32273691744443	-0.907857633046267	-0.488259099640302	-0.599663127600641	-0.407335356536518	-0.742677992710895	-0.623731990898788	-0.69833356657259	-0.501290202390103	-0.345601251043741	-1.48948216091665	-1.22040327725253	-0.530104410182755	-0.517140248029272	-1.42407376047044	-0.451984734280269	-0.858730673193279	-0.350168087281399	-0.495868014088388	-0.25568515450131	-0.224996610011768	-0.0534278616500961	0.910866303991111	0.377401816249133	0.0643057715842608	-0.150305780209544	-0.670344959467853	-0.941476688085706	0.349733036437912	-0.579841273246634	-0.517296442754013	-1.02498880091377	-1.33678322287246	-0.988982197939003	-0.287429872843861	-0.863349574339185	0.552719238004583	0.489728136869845	1.15267805142191	2.15767209962414	3.06528989371656	1.29423509910125	1.68009557196321	1.57212039010314	1.72063925979949	1.10425024890824	-0.70947545693743	-0.162280709106335	-0.770897172980726	-0.439749480842243	-1.44240804601739	-0.228484958864312	0.238306694945467	-0.621307253743289	-0.249444803355715	-0.5618268149932	-0.387885394384276	0.206331403437824	1.08280694455455
SGCE	1.13974057373427	0.776658312691873	-0.960318869295885	-1.68233668817516	-1.47007155853315	-1.68824957978302	-0.00388177494515771	0.449583257817318	-1.32842324866495	-0.744390818489002	-1.01594612488979	-1.09477956027453	-0.441097874406045	0.564500690169999	1.12902057804002	-1.2404747453081	-0.396659038387003	-0.696196912344972	-1.56506945733936	-1.03919837916068	-1.17851224870578	-1.62362244241715	-2.0140652655359	-0.332177803541333	-0.230906096366783	-1.5865478441279	-1.6636227701903	-1.22814214281172	-1.10017027444169	-2.08117274574506	-0.855568538876714	-1.51021010974647	-1.37544225556742	-0.0833295367307119	0.506001458652276	0.849763154389001	-0.168851450804337	-0.842007283578696	0.961017665576813	0.355829369972756	0.592099303726667	1.25266144528429	0.57856108566868	0.987349230931798	1.14645208966318	0.937834523026013	1.14715088594411	1.25766820545094	-0.763995509755049	-0.659245179335877	-0.236388959494068	0.772603758446486	-0.0462395802814338	0.906764965304734	-0.12459691270554	-0.04038812131366	1.22458672876699	0.291517074887312	1.76358903376311	2.14923243187548	-0.788031030186983	0.0201230291667349	-0.515861397385377	-0.730937070311128	-0.891230186444094	-1.11728694378443	-0.00858905099141095	-0.414236452530357	0.356436017293563	-1.33081912162813	-0.659920938376775	-0.595577926971289	0.115435770253369	1.25068024264166	0.115343621293246	0.474194709250017	0.227988045962906	-0.305086009265339	0.655290453130622	0.223541858636999	0.552191124913644	-0.396013995666146	-0.786748623825279	0.18487001170562	1.56992263590581	0.626409433212251	-0.0472685770028015	-0.655666728051123	0.467590700441244	-1.14903226054661	-0.776358828571475	-0.756984509705734	0.127315307029151	-0.728641025388077	-0.306306982986961	-0.215663122546531	-0.117301786695848	0.793928563634818	1.24268632035104	1.03488273619495	-0.510109766457735	0.827117547438913	1.51701377463551	0.572425500740528	1.21870455347918	1.47186078417552	2.27186733963842	1.45166480374869	1.54949628307867	1.52116047784102	1.88345947272238	1.54719255907561	-0.00810526895076878	0.185392189146313	0.0704286823135725	0.0484588344043828	0.231397557487436	0.777418541612883
DMD	0.191603877779716	3.1713092852839	-0.556769290525891	0.363261112759206	0.100956456873783	-0.636874074587215	-0.243224531182011	-0.71067253249948	-0.19011659982597	-0.232113843585044	-0.424731188528655	0.527552943915748	4.14452464375586	2.7431049257734	3.07872664062841	-0.455781420331272	-0.634072332740839	0.253155546590299	-1.27757755537386	0.0077961334870801	0.208212141302047	-0.718586731117078	-1.19804082206489	-0.924606222624795	-0.542654673526624	-1.1426029198263	-0.991482163741376	-0.667847282559003	-1.05254280563043	0.160004851182449	-0.378940521101293	-0.509804009678398	-0.124367132235251	-0.194208490838718	1.60163100885724	-0.31951663561734	-0.735483834005013	0.0243658850939962	0.489002516586235	-0.402769768763766	-0.919070134784018	0.25099887932711	0.0528165626061607	-0.778886762676701	-0.768430777641773	0.129426390343656	0.476370608330411	-0.690992943722876	-0.0358282386982392	-0.522503313786197	0.164712932841823	1.12179179875528	0.170720791646422	0.0847718244210088	-0.0464478993736767	0.665926255998602	2.67437078473808	1.13280620656371	1.23231136801489	1.51896518242087	-0.736003744863103	-0.882281627584702	-0.656361103786748	-0.763645672151573	-0.429612573807393	-1.15946151079882	-1.12045856846319	-0.566551317041072	-0.264396456680911	-0.527837214071049	-1.03573235455217	-0.573483461815609	-0.36418082951884	1.08789168521202	1.27806352352684	1.69976899731121	1.88848701081915	1.35717662576625	-0.514194368035605	-0.477290325090046	-1.01273111307111	-0.610233457099512	0.76887823387934	0.432226325287002	-0.779040810338358	-0.342306061563632	-0.747220340227459	-0.637548033106961	-0.348130988770014	-0.437536400403843	-0.521290188450653	-0.27103013411099	-0.442379273767166	-0.592017321108644	0.0275334901368055	-0.229004006415355	0.380552962780135	0.300842925851805	2.59661522751702	2.03942483530585	0.125373011246321	-0.457562596419174	-0.472187496297677	-0.436698766243586	-0.324773512071364	1.19257669928639	-0.521232420577532	-0.619177849454437	-0.814982055398565	0.201925071110695	-0.330078528419656	0.327916802387917	-0.234472698404158	-0.464340693532055	-0.752034329654221	-0.546274793575549	-0.414862510203793	0.0117339768381713
COL9A3	0.796282052916133	-0.305574726112285	1.10194581347146	-0.525334445142309	-0.0428715767237645	-0.326861747602255	3.63081475910571	2.52067683047425	-0.480956417290339	-0.834649127462458	0.0174674220436066	-0.944245503640437	-1.05457206417138	0.318655582035463	0.485369555423613	-0.535840509420853	-0.194500800420072	-0.904867091005239	-0.731555687227945	-1.07790360184965	0.167730771479662	0.0307224156509607	0.133145804361576	-0.404458868312059	0.309103052617849	-0.868125932444868	-0.795004412298532	-0.106818545235197	0.991456035261616	0.390290962263411	-1.06622065220221	-0.478155945536614	0.502928341511385	-0.0692784790886417	0.424326143515735	1.63470549820307	0.91897879542672	0.547993601695557	1.09552878156952	-0.186193879604575	0.150421107112314	0.962222889930556	1.57341296457476	-0.971511446420567	-0.713335440020429	-0.454601057350377	-0.506736220152082	-0.871003717835966	-0.815260585290198	-0.601118990575929	0.793155145804613	-0.422636163498813	-0.374117560845322	-0.566783145178266	-0.307679375129655	0.0762429672552176	4.18549715523457	2.19571043178819	3.68974493159206	2.42272045192295	-0.559824917814717	-0.0709364270900798	-0.61049112150634	-0.675391624878704	-0.410961804255524	-0.728780986686678	-0.285447409182908	-0.63371957433478	-0.655917178664918	-0.380714991234466	-0.467409349941799	-0.504382449414288	-0.456233234139358	-0.844510911429562	-0.570640236642752	-0.030243682619545	-0.497879513470823	-0.583491481254937	-0.282518081366895	-0.389056273666573	-0.448132483023522	-0.486952519388805	-0.471335164639505	-0.203512134376076	1.65035721456897	-0.787599483919052	-0.294493104755522	-0.130674097566774	-0.778648282792115	-0.430779866635411	-0.261377096747518	-0.264890572045903	0.991516168090684	0.831811964490998	0.523321960969491	0.124100108788962	-0.131988429402111	2.74750645212181	0.0817837779335996	1.23850746828423	-0.118346867607893	0.438929830575036	0.167928350775171	-0.6400678830035	-0.851142703435316	-1.01065791814365	-0.816480422679858	-0.825096598044845	-0.822089956591459	-0.765779857371625	0.19203302482717	-0.722037519426942	-0.334137819919448	0.721296415068698	-0.48361085217347	-0.308555596353213	-0.31614951362405	-0.89448129238483
COL9A2	-0.0996082155634597	0.57979418546244	2.93334642220202	-0.531475116426042	-0.664392328789589	-0.667515251677751	0.12742652395482	-0.72983335335612	-0.700262080726928	-0.962105129290784	-1.31825869462606	-0.431734573621557	0.559161840987844	0.72586100852642	0.0839424544137624	-0.0506941199893352	-1.01996692527481	-0.724622633705648	-1.15650707907884	-0.25202615146741	-0.252947238274311	-0.567143106491392	-0.447208831977504	1.89764132750068	2.01183854704587	0.422884854842931	0.936044245606053	2.17483582284623	-0.0465623877412337	-0.183084997034653	-0.925866942630685	0.673718723000488	-0.504202174686451	-0.98299186916919	-1.44185977185694	-1.04223968149122	0.368023170172814	0.0451164524390359	0.16231378329813	-0.716034595763203	0.303880439391249	1.05765402088297	0.067503247974396	-0.527273206135509	0.235000690745619	0.387094053203328	0.0461428063095834	-0.941858764049556	1.39986847254047	1.14781526089568	0.178463505312471	-0.0776600327932913	-0.606828789485893	-0.463726988714605	0.363768626350459	-1.05719637678424	-0.31067745042878	-0.848907946850232	-0.706446520716123	-0.708148338245066	-0.0348865159318436	-0.623346946222995	-0.357345848645126	0.140260333464316	-1.22933434261119	-0.999992499948001	-0.938016516226481	-0.669024079590009	-1.11531256817208	-1.18057814763253	-0.959052384445052	-0.718587322056616	-1.12977801716808	-1.03820444405146	-0.237244901280465	0.509212619287868	-1.24432612692542	-0.774124470385129	-0.644707387887807	-0.613802732452434	0.0491780066447063	-1.07389875088272	-0.937937565928747	-0.39522444704704	-0.0111487930796942	0.224000282594624	0.00458863293536712	-0.230823610398066	2.3575706730802	2.82062294154787	0.916166315087587	1.73019651826128	1.01008208037033	-0.641259891553404	0.197411576768732	2.35176344006907	1.62234163930076	2.51369927297766	1.49159994625256	0.505519499804958	-0.342424242373321	-0.858917090151896	-0.230253413803317	1.01514367168064	1.2737848470586	-0.644716160143111	-1.39353341738817	-0.541414081685274	-0.148811795562611	-1.29018747765382	-0.0948361086781791	1.49395968292929	2.11140364474428	1.2481084557843	0.758142908044494	0.53639783847442	0.0412566601053528	0.199367789701485
LAMA3	-0.922411772711308	-0.108865943688029	-0.779984455566491	-0.268270287300742	0.0677053587024609	0.0897959473594814	-1.0106353306514	-1.21738395504657	-1.17543813491806	0.106188566720048	0.0658863915809002	-0.9018333374445	0.597368130252039	0.917535564002004	0.90197572476938	-0.590965281789903	-0.171302538017247	-1.03692634539234	-1.4786942879997	-0.860033619092824	-0.910124613279725	-0.140109808663583	0.430278833177955	-0.0845984385562097	-0.429873462654778	1.07901455284573	0.917798547200302	1.45516088238893	1.31497622751849	2.33762291954394	1.22489717701263	2.49146809054819	1.22310012515759	0.964032454478833	0.117248471226241	2.25492931385694	-0.755636594457414	-1.14774454311953	-1.07250943313981	-0.53950823598962	-0.549888767233545	-0.302114763903909	0.600713860941495	-1.20879317056884	-0.542021186551134	-1.09496527623891	-1.30641837784808	-1.06941207547097	0.870373910440587	-0.25226483764878	0.478470504266039	1.01657065342767	0.113763943848795	-0.277679241728732	0.18614276409144	0.33030869238056	0.663435353735535	-0.0735823645830657	-0.326849794721591	-0.603208610688436	2.03146664619217	1.34968270460497	1.69137823517115	1.70537478539167	-0.0825676238582432	1.05519265813325	0.818230186289194	0.523192258154358	0.754814710055201	-1.13978930137102	-1.0903630702687	-1.04159429716213	-1.28824331681016	-0.851406309170886	0.68990899569752	-0.522691921476241	-1.55872884134835	-0.956212418781425	-0.215191511777623	-0.493274328711088	-0.302560374323247	-0.324599827358376	-0.716678555665122	-1.14347106614719	-0.77420613029278	-1.1573434298574	-0.580540920012929	-0.809007573534197	1.95391582304967	2.49891928116662	-0.607577053815717	0.241193913601792	-0.82806655032195	-0.159512124626892	-0.188104242352944	-0.997018645050644	-0.903170168702515	-0.188447581528499	0.773333110268676	1.00464874843817	2.12472341034413	1.21315059415533	1.62656018187957	0.0980799181058639	-0.421691763152178	-1.44782298255507	-1.00894055004015	-0.689627811684651	-0.895280672753579	1.52986272088321	0.234787350687703	1.17392226707589	-1.18900368489692	-0.0607546285772037	-0.173654776624244	0.708135192357331	-0.30375840889327	-0.296285303008306
COL4A5	-1.90489804869383	-0.637589999523703	0.0893951357114141	0.266082078658429	0.571804073850304	0.637182020195335	-0.798957265336584	-1.15103002796717	-1.74493683543983	-1.80003171083181	-0.389991838718824	-0.704276064418544	-1.00312169311596	-1.63694360457373	-0.00961614746508731	-0.334994897335919	-0.167317883223956	-0.61687695660399	0.565403386828508	0.284794469678434	-0.551296146954442	-1.35716712650081	-1.395193503168	-1.47838144859226	-1.76692302047754	-0.717434198066629	-1.86295431166357	-1.05475390175845	-0.145653481358927	0.401678709511424	-0.082297172772692	1.31580874080567	1.49215991000728	1.20591279204894	0.192281807532805	-1.29199903874665	-0.633637662728824	-0.99589556230338	-0.109536817868728	-1.74266336737198	-2.18524114496212	-1.64253283837746	-1.17729033297244	0.562465366556207	-0.114629386340714	-0.14862647806304	-0.792864370914743	0.780172668733617	0.396460225884911	0.864304977816829	0.707337747126035	-0.450452098750935	-0.475334332342769	-0.0831086259907561	0.088758564652415	0.324422766922666	0.0641981142332622	-0.816193650934075	-1.38379118639693	-1.34670217810233	-1.34023153821691	0.270866854530461	-0.103227069569647	0.453527772031152	0.346318013237662	0.0517884762259772	-0.830478025686543	-0.400044065221908	-0.435475190648569	1.03893530657323	1.29888014780813	1.63752196062249	0.875665322869721	-0.234395684155104	-0.512878034250942	-1.06666687443399	0.00119156996515902	-0.129963054047574	-0.230793111678355	-0.0137013947008559	-0.535423842197661	0.242445006039142	0.54115072900931	0.299813349498975	-0.253989481256798	-0.702995927014185	-0.490821896349606	-0.34330529753471	0.979475372490978	2.01225945106796	1.16156267650994	1.51783261095809	1.40143104588412	0.855127162109074	0.584542490316632	0.559520350997546	0.17602476202608	0.252014557783203	-0.246168751103391	0.751408051210531	1.25439012654188	1.56875829567795	-0.674686003104668	0.752443353592198	0.060567560611064	1.4518670605586	0.746224544015831	-0.0231870030085664	0.0934803829471826	1.53644007268266	2.32704733738579	1.96853891130159	1.49831576200638	1.62751870112395	0.95744022044873	0.300715741439753	1.96574079675655	1.04215313830004
COL11A1	-2.81544676332869	-2.208840327089	-2.69666528661224	-0.91981861653522	-1.5131667857422	-0.424924752967514	-0.287233143542256	-0.305187725473936	-2.51159247473226	-2.82215190656595	-1.81787889833174	-2.11703144276341	-1.27645079777086	-1.01091083777796	-0.860433307442776	-0.40945677476269	-0.330004899350473	-1.094472667385	-0.351265904141661	0.250866817096001	0.796779491190467	0.47379246998828	-0.302630541291951	-0.812129129805596	-0.426618683890612	-0.514990842977987	-0.254684695196195	-0.346167823575029	-0.517928075764513	-0.375268688151324	-0.0803726880905078	-0.0257542743521654	0.032393162142631	-1.32401116599629	0.341372677634585	-1.42911632221504	-0.798333365460753	-0.52001291382371	-1.68693043700419	-0.638799819805936	-0.105293018016849	0.436656292058832	0.497138312838666	0.594050706996659	0.43969668089516	0.425689175184929	-0.265336914654906	-0.796378829780255	-0.922652693271942	-0.065930841117944	-0.879511747390742	-2.25172609747858	-1.39161638347838	-0.787670287470484	-0.487904236005762	-0.376577141204101	-1.20965997015564	0.858510243099508	-0.0459511430506381	-0.238201444290668	0.686239639926784	0.733962886125594	-0.0711429362659373	0.403374892832585	0.23007272916182	0.865622581270206	0.587264124772709	0.0429259377541996	0.698346902614309	0.300327428344141	0.430358343755006	0.171816707351442	0.806932218197494	-0.632290130136724	-0.137922905349596	0.630969714294942	0.798191100293048	0.795639345376843	-0.270988780331011	0.743844149843664	0.467711692315623	0.855469854263179	0.343110042683916	0.207106934915977	0.919698068430633	0.805520609094913	1.04305098693313	1.42820310130669	-0.115011403761544	1.13192806773797	0.421888689139518	0.819148066200603	-0.0049058937601941	0.436764877374415	0.912640022917726	0.110466004046941	1.08681086911316	0.901129979465908	0.834621473671207	0.201949132425775	0.577925787632556	0.636127516785144	1.38580053557146	0.857967316521592	1.016773340562	1.15874864068702	1.13268816494705	1.02502582454632	1.2098923243267	1.57338166824141	0.683090665774871	0.603063288190064	1.46637083973418	1.45616382006936	1.25614966876513	1.40605169692772	1.28617350852388	1.15190776580528
COL10A1	-2.19512461485949	-1.99528941197549	-2.06105468847142	-1.58491094051458	-1.83975840953971	-1.13495307618558	-1.63395680279114	-2.06760537294043	-1.82748851684647	-1.52411766723913	-1.61012489582927	-0.516087554428768	-1.89351222514821	-1.52544353476459	-1.42990803785589	-0.823846126652145	-1.27599504324779	-1.72157080304349	-0.869217762820016	-0.791351136112897	-0.48249141967346	-0.581167424831025	-1.45918386698798	-0.692821201106442	-0.942438235105289	-0.365579117958081	-0.352988994548942	-0.364719551299625	-0.542189166815584	-0.34294386261876	0.316208930430749	-0.300117217929845	0.0987610381725206	-1.77894266393332	-0.636758353493863	-1.04496824501907	-0.925898599533445	-0.780126206808364	-0.638690973954704	-1.77070093656108	0.126177281919327	0.147582177139683	0.21719022222635	0.190066118781763	0.0538163762925094	0.347035350397702	-0.866262651301405	-0.545301584650775	-0.38546151275725	-0.160732585274459	-0.56440306594978	0.269786712791432	-0.471862007138837	0.105845440501357	0.309439140735073	0.387979937370392	-0.215261696300383	0.510313688925048	0.533291647311203	0.904394102371721	0.937147524716779	0.771189360724838	0.427806525878817	0.422772723748256	0.395266590677689	0.425385132220032	0.77922321903589	0.40085096491628	1.56929419405914	-0.319449040620984	0.0426701001462664	0.387951846956717	0.880404889093265	-1.43874528199805	0.464335299821797	0.592641073323759	0.0615356219704005	0.706244324308221	0.172408484745653	0.573562064355694	0.804954037962197	0.639445320589055	-0.118141900060414	0.565623713451137	1.30204199835512	0.972541445947288	1.00080040210435	1.13389278209653	0.289596072515048	0.351361274103653	0.744054021114782	0.785066025080291	1.21299538700535	0.535572588901614	0.930293463780077	0.192841451652853	1.03158749549215	0.538347921772705	0.894056830139319	-0.0217636907414644	0.710176982222722	0.69910935923477	1.16878107588089	1.13939850317683	1.56148505905749	1.01686811872645	1.49496695947507	1.13687036594608	1.4250218294243	1.38490871869639	0.774447848711139	1.01484560894185	1.35007660573938	1.34361581059413	0.809560865804898	1.17883744397654	1.28417649525782	1.48462968724267
NID2	-2.47759709119361	-2.89266588140772	-1.77000044184865	-1.79244667343004	-2.21229736214892	-2.6054841848052	-2.03976646409679	0.0151970355464161	-1.65596172630688	-0.591405917377783	0.0809672675810348	-0.479279961237917	-0.388576910399423	-1.15829998511837	-0.443224446511945	-1.41280218733928	-0.743097301746124	-0.685035490101196	-0.586528380902917	-0.0495594340051904	0.0233453905985463	-0.826876163549708	-1.18027759064629	-0.911008885842646	-2.31393183296932	-0.530685370164203	-0.952640094225182	0.0325170719306962	-0.960501535367025	-0.437926102968659	-1.19089340532688	-1.14809541370918	0.123688748822657	-0.48986708452748	-0.609864045606199	0.19039623296421	-1.23505901991695	-0.366819272202716	-0.357714537449633	-1.20850035562145	0.0685247676716199	-0.352186662778117	0.114832672791821	-1.01614370636854	-0.0390870762797429	-0.274461684481572	-0.195043914114338	-0.949197127301746	0.17808762621293	-1.38297270446652	-0.923413130564022	1.38508662780214	-0.201069106230349	-0.126098501472552	0.450512384029725	-0.287305863865387	0.311320882352855	0.714951371343551	0.0465567259407036	0.509396682217473	0.0371076944952757	-0.555666007953126	0.523398081039442	0.372835224718227	0.218389466811138	0.796731399572143	0.391245533961595	0.65153383337328	1.06445076926024	-0.127571326212022	-0.120121128341589	-0.226527933869749	-0.272988859742103	0.352493028478931	0.155038875419934	-0.0476275470092631	0.602155949413017	0.643653264637419	0.0480199868831624	0.800212621683615	0.291083887880665	0.203699474604483	0.284293592003891	0.583009227799914	0.971337641575345	0.923403890963522	1.03711743740697	1.1770644790476	0.614847108044679	0.771301263323771	0.604910322951765	0.281338378727942	0.401823093454148	0.481508650137648	0.546561597396551	0.257486268986144	0.901254137089423	1.15872111638329	1.26904907868537	0.903157332694321	-0.00920021062492523	0.594428401429308	1.40111555159013	1.42045354914342	2.13123494289256	1.74822400025443	1.07892079413568	1.66022750396964	1.36752749649262	2.06065412096214	1.13007754433972	1.36384543464394	0.72166515684425	0.779736532286187	1.11786457555853	1.34270944325286	0.76004467424354	0.56702812299697
