s0006	s0060	b0251	s0132	b0556	s1551	s0067	s0059	s0046	s0176	s0181	b0551	b0629	s0050	s0204	b0339	s0350	s0088	s0141	s0055	s0104	b0326	b0383	s0168	s0205	s0077	s0086	s0037	s0100	s0170	s0040	b0428	s0026	s0146	b0421	b0252	b0243	s0025	s0177	b0165	b0241	b0502	s0047	b0565	s0162	s0200	s0103	s0033	b0341	b0671	b0404	s0035	b0679	s0154	s1511	b0340	b0626	b0434	s0107	b0772	b0336	b0664	b0318	b0694	s0019	b0542	b0354	s0116	b0499	b0512	s0106	b0427	s0109	s0001	s0190	s0018	b0668	b0627	b0334	b0566	b0374	b0370	s0080	b0521	s1616	s0201	b0359	s0210	s0013	s0101	b0387	b0338	b0667	b0504	b0574	s0138	s0087	s0229	b0382	b0344	b0515	s0042	b0244	b0494	s0195	b0305	b0433	s0136	b0327	s0071	s0084	s0183	s0175	b0672	s0004	b0519	b0554	b0394
PSAP	-1.8790889149724	-0.995187205605131	-3.26996082054108	-1.37250526348309	-2.90932300730451	-2.52029096402095	-0.57795420463064	-1.38137058242348	-0.835098872777348	-1.18699741426226	-0.956490718666285	-0.515090270040085	-0.291936327119789	0.104507290860848	0.197866241977149	0.864403775959599	-0.03562357041867	0.639283496895179	-0.790755471783584	-0.0306909237665307	-0.504477096749366	0.228453693107962	-0.418773411561684	-1.64469996596367	-0.954079015788663	0.100751084636815	0.168203136896991	-0.0582868549515834	0.619199978158188	-0.156637274741429	-0.668330038947095	-0.711908753662589	0.373576023061025	0.854488063779831	0.731550039042523	-3.37256323216394	-1.68588378409337	-1.73965551480383	-0.269583958985733	-0.765638468643474	0.0197531611615657	-0.455301886854443	1.48153081196151	1.08759133146356	0.75986864077627	-0.101890779104823	-0.298994969688438	0.129968822983476	-0.00601088421400342	1.11641412195221	0.13501071053251	-0.0679924884834759	-0.166124426479531	-0.00604449679766387	0.383407703781643	0.427020031080797	1.06641540375761	0.235512335676611	-0.0337496688796127	0.052063257204967	0.648274863024292	0.069558607000118	0.325930185722642	0.979694937914203	-0.447134029025007	0.826505587882685	0.508194420620264	0.405003788783344	0.0553740966955001	1.28464510317168	0.492900695054857	1.44707791370976	0.786842739163608	1.12128794658294	0.492312474840803	0.0831548970906831	0.957258538320997	1.03028187632286	0.501051746592464	0.539286060505981	1.14632932140982	0.736591926591558	1.07633111593738	1.201117832776	-2.278801356714	-0.424974933246997	0.515253063188913	0.17509371654734	1.39791951010667	-0.35961526431967	0.270301359764955	0.349038836989054	0.406684417966356	0.921209042345396	-0.0906809824541351	0.638191087926221	-0.504729191126819	0.251226218537771	-0.248844994867368	0.117296878943566	-0.32801943567905	-1.03456434736309	-3.20892877176001	-0.0513374532798303	0.0118542040014111	0.495421638829375	0.0230724037980136	0.502396249938874	1.04145806038989	0.142657573315213	0.842555596580447	1.14574110119576	0.152573285494983	1.15515262462063	1.32741711587933	0.746255544393875	1.04137402893073	0.450632871102112
TMED2	-1.54356372855194	-0.433468915468091	-2.32869228856106	-0.0697946474119162	-0.908703304156198	-1.53871780566412	-0.816089035182173	-1.65447079985136	-2.15061760921005	-1.6010246487976	-0.115738152156963	-0.811502847824325	1.03497187679987	0.937459737832026	0.0829892123346566	1.13715925530727	-0.0408601093726755	1.3889542990804	-0.265368080468121	0.0880132395858914	-0.360594546772183	0.991039467158345	-0.662488863769964	-1.31478125273461	-1.01798517313949	0.0534164669931915	0.271720469429801	0.212255875095757	0.156553735438784	0.0435836219298427	-0.202608555410964	-1.44681595414374	-0.516280023439336	0.164442274534888	0.811606742036314	-1.92685173962881	-2.58118490775756	-1.97464307714426	0.145696790285819	-1.05707165989319	0.0423665754465301	-0.245427812781167	1.20342892052666	1.20513575400936	-0.111092596677978	-0.484985602584891	-2.29468177616459	0.675074905451049	-0.312194686015085	1.46101235611067	0.291067055905385	0.130973496243795	-0.30969380391218	-0.405313584018775	0.6537098028568	0.130995759289222	-0.13475079295115	-0.057705813745355	-0.696284166727313	-0.736654489100606	0.482573772663692	-0.099968494979895	0.742153461320937	1.44728347809769	-0.321478375957914	0.349544655225522	0.169347565543849	0.824764201883345	-0.0999536529496113	1.4386751005328	0.593547633099394	1.63896829921941	0.408771777075016	1.52527834724168	0.178037574275307	0.311140901864898	1.33938191793084	1.50041794651548	0.723853237980397	1.47540912548644	1.31927096689561	1.45997341399077	0.787310338460917	0.911783025440189	-0.53466187794644	-1.63522068657263	0.802011369457514	-1.28593576687708	0.727341115097207	0.294502985916199	-0.369321660579351	0.133659903725253	1.13099981273928	0.508280169116099	-1.35410521197286	0.277753754740368	-0.839576548107076	1.06450751706562	-1.06662992739628	-0.758116064891702	-1.49360545461499	-1.19541422417314	-1.67881915053275	0.976642697782575	-0.271327155627267	0.453639234624451	-0.0211202090945579	0.100280177615865	0.450210725628779	-0.585837198366703	0.0263000776637772	0.966401696886408	0.622044331245249	1.04951706647848	0.709211575104936	1.70880005170704	1.57551861975403	0.221057199054347
SYPL1	-1.51420239590733	-1.7096437017513	-1.67053565573629	-1.24515321846386	-1.610472160107	-1.54978214434762	-1.72300671663122	-1.45032207369605	-0.91674950238041	-1.87422064750248	0.190229130627033	-0.340359226384764	0.910850935517827	0.260086125131918	0.179660725274748	0.875807026662473	-1.41424770410042	1.1771549655492	-0.137605771127782	0.430499600516034	-1.17163602740951	0.144080976834449	-1.51193538227872	-0.667600582753178	-1.00269817180547	0.178547827675248	0.482879980865815	0.0846440013352488	-0.291210370916493	0.210409673764626	0.0115225072051641	-0.91184450925669	0.0238962797744153	0.27669715226519	0.902326964274252	-1.8176854494479	-1.19912871996011	-2.07585296147404	-0.0661000394384518	-0.343054911681329	-0.0600903924011545	-0.542782934204857	0.719317136800985	0.400575020618378	-0.314317422556473	-0.2102573751603	-1.31487831399399	0.0477535068333174	0.174162186764627	2.88833807085385	0.0175568853002285	0.691840931622228	-0.301556196748878	-0.944143270699945	0.141838694263606	0.213715391819436	0.617680733065944	-0.299454056838712	-0.62641512788577	-0.189005152852818	1.05351616408775	-0.0670645506913516	1.28332539654146	1.48991216575227	0.410797191161931	0.352893541244263	-0.563441611125938	-0.520244696893509	-0.25223422387624	1.12507135789262	0.311370095254044	1.40904985054122	-0.217833322522819	0.394878633646125	-0.238170495692934	-0.315586950188495	1.13643940077936	0.949736402012934	0.291799584874696	1.49078599646003	2.01486184159327	2.23208296564375	1.28986263947778	1.41001436179412	-1.44505435839175	-0.499487095741362	0.453054325199226	-1.21691859418026	-0.0172397129774587	0.765316904246968	-0.418262058349735	0.155127515970223	1.34473261297607	0.326052099881517	-0.151694230368854	1.09016759169794	-1.89395603160028	0.232947911075973	-0.51266874953099	0.602916291579249	-1.40387714721027	-0.954109886979907	-1.44087480962919	-0.281993930055451	-0.444237912690648	1.46742339055646	0.103250000461698	0.742547843729799	0.45021025355606	-0.437288485458218	0.54021481645485	0.897611575926743	0.279005384323411	0.960890109065698	0.866499905256287	1.84964188834015	1.93330705676476	0.350799645020018
TSPAN3	-2.24591249331062	-1.10281067029042	-1.57760893362899	-0.5436993849738	-1.95021221233639	-1.72231557289824	-1.82849392548489	-1.12435925115799	-0.493105812700772	-2.10821274225222	-0.33866631775237	-0.318346341940949	1.08159152867586	1.4151482029426	0.47541891062263	0.753314016759741	-0.349023074436604	0.0206910626934482	-0.403129689292051	0.790920849650222	-0.42578209501475	-0.662384553092942	-0.166220079949823	-0.472209928269282	-0.837192016237771	0.503792008638011	0.409304601038752	0.0574532296078281	0.690280818293232	-0.601367034796672	-1.26183823724537	-0.482893033171555	-0.286786549561188	0.0910287021578287	0.155136930048467	-1.87713900692668	-1.3527742083542	-0.62653424149367	-0.535195134350787	-1.1882659110316	-0.318231160216936	-1.58642033551604	1.43076492502346	2.22356073140993	0.703651496755825	0.856324871936017	-0.548460229566367	1.07977741652264	-0.440813309998541	1.4209744784823	1.42964190321433	0.0268724818821843	-0.597729212013238	0.74633592397991	0.507698588777477	0.765609665798206	1.33845637170346	0.0940810178441928	-0.465337418736463	0.317178418781775	0.167509366902942	0.924992376402197	0.34885339288555	1.52948526098022	-1.94208230231642	0.0870165387713508	-0.195792987590346	1.0122617292966	0.0267573001581707	0.766540718067318	0.880868177627939	1.29748047338558	1.51889814084796	0.910191524866435	-0.0577476913598977	0.364306940857391	1.72968069579308	1.35245095117113	-0.345164486682145	1.36961302804917	0.492523396638668	1.04327440848729	1.46865011374698	0.50243862338085	-1.85682862959226	-0.883159122596247	-0.151332842121049	-1.30539612587656	1.36694465144286	-1.29705504936256	-0.388933541807359	0.34893977917856	1.69366721008479	0.471838678701204	-0.68226299896231	0.480861247082279	-0.974776585572164	0.566278093915455	-0.179139629993362	-0.36115554936605	-0.95233534634349	-1.05404080864761	-1.08423761729321	-0.840042763907111	-1.32929633360941	0.148648359595694	0.306159367184463	-0.174858709250852	-1.09368251866233	-0.369160679185003	-0.0585635619049948	0.179469069246367	0.572747467414227	1.33994413563864	0.430210083947243	1.32505689780987	1.64356316013882	0.363385487065281
MIR16	-1.58159624493698	-1.9300308484235	-1.60997036832708	-0.894366138284975	-2.03316093609903	-1.16392031049101	-1.00157466095786	-1.42549253429366	-0.844955391940161	-1.23136639353966	-0.189561014906265	-0.204079506984851	0.614664017132337	0.315971590374161	0.729578296222324	-0.829948960685821	-0.634441860000437	0.450817724473749	0.552815425005552	1.86962516437417	-0.222621195663527	0.293176545106833	-0.202090924683662	-1.08975355577631	-0.251566115825273	0.946794087029018	0.468079723616012	0.14975925303314	0.375905251396099	0.369709344503969	1.05312800174536	-0.131312125000613	0.736078014299357	1.35847665537279	1.45687465368346	-1.96110244687957	-2.02717677639638	-0.820300653965239	-0.945829911727775	-1.37530845038728	-0.451934195469119	-1.00661976790717	0.867987306944874	1.00776807119926	0.211221176379139	-0.226957409848063	-1.0095474029617	1.14024816061642	0.0855262034248368	2.02368505431903	0.375168739432696	0.591270555894742	-0.672077621330341	-0.240509229974682	0.906746249018968	0.500679584396146	0.666670968148147	-0.761361284093896	0.258928738808583	-0.375419808871068	0.584651154623656	0.177065434076315	0.525932738341335	1.6985978800724	-1.40337876259248	0.359066746632793	0.302962947820552	0.23938355257977	-0.186541315856312	1.36050206327215	0.0619946461941044	1.24695033131446	1.0970701467619	0.66946971360908	0.557713229562182	-0.0711759231887405	1.32033454206805	1.19385702515263	-0.520816476846405	1.41084265597076	1.87167819147215	1.34446451526904	1.39040444898632	1.12061091039218	-1.41284294132221	-1.2450102776617	-0.342829154490475	-1.08573035917622	0.24003720694729	0.448543743786741	-0.461122182212574	0.121219414451266	1.73279044797339	-0.884616561169425	-1.4583317614619	-0.350396814914443	-1.58550896474256	0.459333644050598	-1.18504899744114	-1.31469351579919	-0.60665694618105	-1.39814952765232	-2.15102126304263	-0.0171619770726567	-1.33167932295518	0.540165832034101	-0.207458255616963	0.237910528652963	0.154785947183367	0.0380948329816695	0.357520071509646	0.758182579600997	0.447374531044838	1.78198944712873	0.802391710204276	0.901369711686125	0.826807081791092	-0.193298813120537
ASPH	-1.47188043807033	-0.327478451623374	-2.35189213451097	0.205740094498634	-1.60625218971568	-1.43127613009034	-1.6952503607739	-0.722850380274804	-0.865782167245722	-1.74919938629114	-0.227601099755333	0.0400637312171043	0.16602183878007	0.76231189631084	0.997454756887922	-0.0237551460121615	-2.07719281906307	-0.318417604150041	1.3587791642939	0.0894977426022279	0.0720001366396946	-0.30182916485575	-0.88602268281753	-1.02644270424737	0.649521295832845	0.0433613865900531	0.340003978912155	-0.480534348781332	-0.333272462932852	1.49738855718952	0.843489693061722	-0.189300527655046	0.139324698903286	0.828727291906189	0.514402178366995	-1.10473120014579	-1.57494757807949	-0.247764567304409	-1.73538467581522	-0.439960860010439	-0.655271559536195	-0.0229769609825634	1.51017852896311	2.02108396770181	1.42881581695767	-0.098568776085344	-1.31248348864149	1.38836560502314	1.27283979973815	1.34182859929276	0.636947058522915	0.908687729897898	0.800959184513424	-0.165877928744389	1.30399802013114	1.08404902963689	1.13526285034713	-0.111559072718031	-0.806162407255373	0.121827092940752	1.8155198430517	-0.816224879024227	-0.433627512541833	1.49769674928045	0.872760236897769	-0.158157716866601	-1.30451672309096	0.880472743973285	-0.232809546092045	0.114569169199358	0.636685095245624	-0.361186961568809	0.836408979772612	0.901691769433795	1.61141963083351	-0.611508282624179	2.70157210447457	0.062399953007234	0.867983259488359	1.49345910803017	0.943968019507075	0.947049940416371	1.05445488410537	0.845123111143649	-1.4756326767774	-1.17650913812331	-0.73110992831172	-0.715091644385648	0.361831683752251	-1.20936241501642	-0.973641694268842	0.631099113597524	0.603978209595711	-0.414912547820128	-1.41095086169353	-0.187382031889009	-1.89846452073066	0.611120561303006	-1.13287684284994	-0.111528253508938	-0.640586206403396	0.335111429468647	-1.23468810008856	-0.190687392064229	-1.06019744300645	0.990281585971534	-0.367073430505566	-0.118023401825281	0.174959409417032	-0.843646270314697	-1.09778146849532	0.554813866290152	-0.282767484031749	0.983848076073377	1.03977723577484	-0.0301116078875867	0.167578208839266	-0.457589447611617
LAMP1	-1.21855076897884	-0.832355342622483	-0.887073854476719	-1.63652639230908	-1.17098818712403	-1.4546777261588	-0.768214231842304	-1.03114782731853	-1.24163894626756	-1.04227511113962	0.574337519895218	-0.275925586764114	-0.37616480515919	0.766264433008047	2.25136343430216	0.325790715622024	-0.532892785107312	1.11516285248259	0.922851916948328	0.611671992379125	-0.868200557423264	1.040175449897	-1.19602457572149	-0.841796674349471	-0.425825460731111	-0.213011474452423	0.164576229823478	-0.623784335780626	-0.357600599322987	-0.539889486297848	-1.4200595098265	-0.759812570573347	-0.539243204661775	0.741125014004834	0.519150688014842	-1.11884543541357	-0.670728735200933	-1.11796499376442	-0.0215903469678253	-1.89537623715737	-0.974677798566529	-1.2449827512542	2.33641035104925	1.81085225131405	0.400440927788792	0.816421507807677	-1.95130301467904	0.839425387491689	-0.877192301925158	-0.293047366919804	-0.360138893864668	-1.00734780359008	-0.821434119612891	-0.756450032785659	-0.516576515396583	-0.592641054042295	-0.308595591787664	-0.530598016979225	-0.680273097333673	-1.11842394739004	0.322268949025449	-0.350210509310493	0.331419922336231	0.614369515729694	-0.839876562242296	-0.0208129357244327	-0.573617894580475	-0.380979135027913	-1.15879313364334	0.563107205668373	0.0988896629570355	1.64852316385329	0.972184748501949	1.62880689075278	0.322671704247929	0.621506712928072	0.898068421164982	1.20318828459593	0.558686264621609	0.0128592741550574	0.698498525225542	1.76819766333319	1.16443948563308	0.655918868448864	-1.13335398982339	-0.399515241662546	0.499097224495513	-0.0731336490448301	2.6313489371119	-0.835052865973052	0.784369685218632	-0.50091589372245	1.06841514747326	0.722626372972291	-0.657971697688871	-0.204900171599672	1.4754227157913	0.950117508870217	0.00093584628952432	0.569420159620745	-0.807834106053775	-0.891953749149101	-1.10735286197208	-1.13398153865842	-0.822623652479287	0.99575061221733	-0.15883621382851	1.41377306755019	0.642721610112229	-1.25492986860942	1.88640163793101	1.06014461581162	0.179777897871993	1.51820843337948	1.05457160750056	1.61745481331914	1.32854818919317	0.699781722097167
EIF5A	0.0808356620426051	-2.25285645102252	-2.51197323535145	-0.266285006488602	-2.17297295523501	-2.39436435784611	-0.506756020903496	0.138432888580305	-0.538115244456445	-0.0174200946414893	0.486609867799612	1.11784981739324	0.738992671491911	1.65543650687236	1.15019933221629	-0.970334942797651	0.947142465120053	0.876030120581939	0.454562156030313	-0.512292220670588	-1.19968640095121	-1.36275436342655	-1.07854076890983	-0.492486395268725	0.129576855222044	1.02202734782995	-0.341999847596292	-0.550687227913913	0.356928868144563	-0.987292501879818	-1.03158210001655	-1.30597766394121	0.433803764740076	0.310819020339942	0.566399050132827	-2.61038932490784	-1.42847197837901	-0.495891110968759	1.31487062341462	-0.993064485282646	0.0403468961139412	-0.772078630525012	0.557062018157664	0.67184149203417	-0.519299710324675	-0.139706919479845	-3.57302789020178	1.03758906778856	0.640529425208368	1.12152804211073	0.139875884431013	-1.14325866124677	-0.512971277541508	-1.01703896536433	0.413130255558704	0.81038795639291	-1.04765311262835	-0.469907754310603	0.597522490050039	0.156503346423148	1.00872915077442	-0.678953525754542	-0.00313160631586166	0.871691701684388	0.0990947467940368	-0.64434991937386	0.470859520932416	0.167377687703312	-1.20160096407339	-0.500314411975175	0.729749952971042	0.341037051095926	1.04692609976372	0.0395829571341555	1.11228532358987	1.48793581204518	-0.230021483312336	-0.217477793891156	0.891403213631955	0.153872001048328	1.51424926579337	0.968928873062101	0.804163268409468	0.91950862301174	-0.0711504695531137	-1.13215796767629	-0.0434883334085115	-0.142790969435276	0.0153821247621657	-0.112365449079845	0.791336638625404	0.878293643485008	0.364841766959879	1.12077353447638	0.82727006471164	0.142988228422733	0.683442046912403	0.837738858138339	-0.496768226093699	0.842548844307361	-0.893328007366126	-1.71655242452181	0.00301763090414512	0.550554389811338	-0.474463094153031	0.115080877296968	-1.22839541643849	0.331341627994443	0.528862295323584	-0.827704705867956	-0.539850612015465	1.49368893275715	1.82472915733113	1.31402180232597	0.912623740848236	-0.175668639602367	1.04843511503243	1.32647117829286
DEGS1	-1.57336667920506	-1.44918466581098	-2.1682880928468	1.56865880764107	-1.30973533130662	-0.465027581480831	-1.53901520670692	-1.15374939958552	-0.314217775725775	-1.23297563371972	1.92000523625802	-0.447455759070883	-1.25794706577156	-0.399772386475853	0.19167427129999	-1.91501799883865	-0.438849887029944	-0.635110579745979	-1.73823754367135	-0.749462454783672	-0.860843683614765	-0.860294564164454	-0.747482023979273	-0.413923464769111	-1.05984997358235	0.367185450360833	0.661711518807913	-1.20730204892813	0.176595991311945	-0.885247992299894	0.0475709244052876	-0.59589804981886	1.73150423151196	-0.341115626832807	2.28611487632596	-0.0657277215227924	-1.06607032669981	-1.22180420359126	0.474272745129659	-0.729874193736516	-0.710537987519011	-0.434925033253952	0.752109183070568	0.579217573846453	-0.185786838060439	-1.09033960601191	-1.40803671487047	0.271062540681821	-0.531372013428229	1.70395823941439	0.331735738962075	0.56647980299088	-0.0759449440818559	1.50762553103274	1.34523020507195	-0.372604476622767	0.129974849784729	-0.653708625390934	-0.794130171381092	0.105993633135086	1.02451744021578	1.41931632107291	0.771490399079082	2.04540251400935	0.0271274773289591	0.0280546790237464	-0.034535936353494	0.589533817945736	-0.59589804981886	0.743863389357703	0.351783099877522	1.00543328882793	0.725526400500599	-0.417092154056151	-0.395343423040558	0.146169372589799	1.05006499759254	1.89326942039862	-0.507615845733632	1.208832534398	1.02011548265509	1.44146113824938	0.276103637274839	0.980902952727972	1.05394484157752	-1.18532826895749	-0.0759449440818559	-0.710790042348662	0.354708736293113	0.761534233307871	-0.120801701801515	0.489306015326695	1.79838878095146	-0.193384490782774	-0.897823727907833	0.15103043001878	-0.947793597886125	-0.386845574498043	0.0354272827910344	-0.12057665284647	-0.522280035644393	-0.687339941232927	-1.0234550565724	0.0646476391141357	0.656508386967261	-0.508336002389777	0.102824943848046	0.175101666250442	0.535387039361801	0.74885047420151	-1.10594900153386	-0.388429919141562	-1.22038189419537	1.0642430817604	0.288157259307074	3.38741444273636	1.57451008047225	0.436545538305841
STEAP1	-1.48044927265835	-0.631905135060494	-1.661276889181	-1.47684872277184	-1.10912710870563	-0.0998529694061983	-1.05468970395681	-0.621627201748084	1.13725960240888	-0.984257129106097	-0.79734131004807	-0.949684576357418	-1.92835767854056	-1.49091632576278	-0.990883595664912	-1.47445563001899	-0.429779720421258	0.909879421696969	-1.52716913512517	-1.47796889384765	-1.16282985580083	-1.32822238775948	0.362319433097127	0.663667274002874	1.23917334879258	0.671435733151957	-0.00338005396211513	0.373863014248432	-0.309404972801252	-1.16749965989606	-0.325211023111136	-0.0126905667999671	0.441960687051531	0.229731911215596	2.32922346079853	-1.13117411215213	-0.893472355098889	-1.2896783193784	0.131200499573769	-0.381925139202331	0.255495845959089	-0.614971639836651	-0.811088864160211	-0.638633435353472	-0.651908189985565	-1.63119956841185	-0.833361356589509	0.546289347702552	-1.13315986996833	1.97552580669433	0.575813856771958	1.68996946842216	1.04044481657153	0.31506858044503	1.11706742769179	-0.620186981793478	0.403976704208359	-0.548030507300128	-0.315616830585256	0.498463861836244	0.505213983643686	1.21582432831641	0.333267723507768	2.63644856293317	-0.680145229701613	0.13602305427025	0.0268281958938207	0.994394147214936	0.328292418210041	0.562640935874029	0.449809158420314	1.05837482762255	0.865079852502962	1.43814919151089	1.66011763663579	0.209168770752622	1.31784718227243	0.821611395691243	0.835569891109866	0.0326327187411687	0.834456993872216	1.58330590572352	2.00232990029392	1.50599955381673	-1.10185327055106	-0.749857694575027	-0.517996829559902	-1.37949567291105	-0.562090836452915	0.48937156414303	0.260012899453078	0.639583595873088	1.28719522828906	-0.114844349842771	-0.364409736926122	-1.32622935610513	-1.27242477527576	-0.190768672500189	0.549744420825974	-0.05856666404085	-0.127995449226236	-0.172947769021489	-1.66176423633736	-0.0675280326472822	-0.964566849221672	0.0290539903691199	-0.079231638237988	-0.639826344810822	-0.464461380742255	0.892174899628741	0.596209698957377	0.595787816344412	-0.0731507095407664	-0.180148868794515	1.47028500847778	1.31368654684801	1.65363664684007	0.702582308129833
