Symbol	Distance from center	Core Coherent
TPX2	0.0667870164825406	Yes
CENPA	0.0692078718627542	Yes
BUB1	0.0795975794518325	Yes
CENPF	0.083845171493491	Yes
DLG7	0.0905336742975095	Yes
BIRC5	0.111181987059398	Yes
TTK	0.116018371348055	Yes
NEK2	0.128947248987738	Yes
PRC1	0.129799684632545	Yes
MAD2L1	0.13924103792119	Yes
CDC20	0.146914650185281	Yes
CDC2	0.17104055677597	Yes
TOP2A	0.181754250376802	Yes
AURKA	0.214693991094403	No
EZH2	0.266971684848715	No
CDKN2A	0.533458786290053	No
MID1	0.560061429348456	No
LAMP3	0.570102997243968	No
PKP1	0.595959313448692	No
CHST2	0.63460794547585	No
LMO4	0.707832062776981	No
MALL	0.715159481981696	No
ISG20	0.725079940758372	No
OASL	0.73901213017673	No
EIF5A	0.784351524706363	No
LCK	0.784901047426146	No
KRT5	0.851417119573937	No
CORO1A	0.852168447853752	No
KRT17	0.858107253491292	No
TMED2	0.87482850332028	No
EGFR	0.874981312913523	No
TUSC3	0.878574086804906	No
TMPRSS3	0.893705942706354	No
KRT15	0.893908176462907	No
HOXC10	0.973587812628732	No
GNAS	0.979864776999858	No
SMARCA2	1.02870871517959	No
KRT19	1.03796141481923	No
AMFR	1.0584589328911	No
ZNF238	1.05941423451472	No
GATM	1.08548485872089	No
TPM1	1.13998869451376	No
MAOB	1.14761542968684	No
ASPH	1.20935162892018	No
SORBS1	1.21024999147525	No
SLC27A2	1.2267405842802	No
KRT18	1.23671951076754	No
JUN	1.26548959948432	No
SPAG6	1.26764602139332	No
RTN1	1.30702092422913	No
PTGER3	1.31260486916745	No
DNALI1	1.31719909054175	No
KIF5C	1.33219362449069	No
PPP4R2	1.37779380137528	No
BCL2	1.4130677891227	No
MAPT	1.47559417752128	No
ZBTB16	1.49038641842148	No
