b0566	b0521	s0026	s0086	b0404	s0146	s0035	b0679	b0627	s0162	b0772	s0104	b0434	b0565	s0200	b0339	s0050	s0040	s0047	s0033	b0668	b0341	b0671	s1551	s0103	s0170	s0080	s0100	b0421	b0370	s0077	b0374	b0499	s0037	s0046	b0428	s0059	s0205	s0168	s0176	b0694	b0626	s0107	s0154	s0177	s0019	s0190	s0106	b0334	b0252	b0243	s0025	b0165	b0241	b0340	s0018	b0251	s0006	s0060	b0556	s0067	s0055	b0542	s0181	s0350	b0354	b0664	s0132	b0318	b0336	b0512	s1511	s0141	s0109	b0629	s0204	s0183	s0116	b0519	s0001	b0326	b0383	s0088	b0672	b0427	s0087	b0502	s0042	s0004	b0394	b0515	b0574	b0494	s0071	s0138	b0504	b0344	b0382	b0551	b0338	b0433	b0305	b0554	s0201	b0359	s0175	s0101	b0244	s1616	s0195	s0229	s0210	s0013	b0387	s0084	b0667	s0136	b0327
KRT15	-0.469948447274498	-1.27953744719589	-0.55052680664943	-0.966943423895751	-1.03204712635975	1.997998855672	-0.677345564360326	0.0870449346125064	-0.430306732392057	1.38695084504355	1.20278307828057	1.03647640958728	0.796889624646973	-1.02339441662822	0.00212037470728349	2.21818650354218	-0.862078932562176	-0.484113290326984	-0.743153787914855	-0.111416672022349	-0.187698445028297	2.0085666720299	-0.835421243693171	-0.643697240163492	-1.03846223741645	-0.241465311634179	-1.44534797427614	-0.65481081229574	-0.0896608622902459	-0.874899231843306	2.24438278071105	2.04066703439403	-0.608396764395211	0.199391241470827	-0.756534727218728	-1.082291387513	-0.584080863939786	-0.458065855642027	-0.272747040336781	-0.394048703310596	-0.919700819501433	-0.890870030367283	0.00463581268543078	-0.0844464139371239	-0.119211056763315	-1.06951574097705	-0.93344394218283	0.123089622800357	-0.426064721600507	-0.614201621267858	-0.285745950598608	-0.0434403096188052	0.858113499696949	-0.922563556608713	-0.6566118063511	0.300574362035593	-0.803643373377523	-1.17849820769891	0.182651423446627	-1.01250906963797	-0.193012121704028	-0.443509060715233	-1.13760125453546	0.17822087884212	-0.709475695221238	-0.689813603096193	0.0592957341947982	-0.773626805788191	-0.727917278978188	-0.233407971838299	-0.995684907539552	2.48114155845699	-1.18085488036088	-1.1179193167459	-0.0126596839453812	0.817181816620587	-0.203227677516662	-0.88458887754611	-0.241916800502052	-0.191379815797104	-0.318878287517874	-0.776320854747035	-1.16274571148468	-0.235685261842184	-0.85014176535227	1.27591435204367	-0.487283635234353	-0.517915418423864	-0.0401161608113914	2.33815354557689	1.78952014986973	-0.599525752353934	-0.8248087745901	-0.185604727421239	0.120985982361039	-0.370521668019916	0.72044908632485	-0.599644826341065	0.599648526380212	2.14594828468256	1.06827908698358	1.31059465079564	1.75171415895556	2.07519849066208	2.30967501698801	-0.178316407125581	0.483199128381995	0.611997491128948	-0.342946117166775	0.84392384956381	-0.683487797529846	0.843824621241201	2.38751963607505	-0.281384865819926	0.709573662166864	0.982148902958653	0.809938149070103	1.54626191699288
KRT17	-1.01133624860476	-1.30886233720705	-0.391373687802422	-0.560336329778242	-0.438954728655058	-0.92824029825383	-0.808909150824849	0.596929220082218	-0.166843750713728	0.481804131513139	1.01908083270339	0.762232590849924	1.26801116875308	0.0881538252413778	-0.1947246633813	-1.20109259406922	-1.40299919206522	-0.793930323710024	-0.0364611836303549	0.328682558718423	-0.209146187697188	-0.480910165782577	-1.49521177499498	-0.404018152250001	-1.12675576129403	-0.539679323202551	-1.46659480202693	-0.708452692529675	0.0912295057826811	-0.48673555730354	0.242857927682131	0.820334036425889	-0.874676138672984	0.597423431998257	0.376820902369996	0.191780600402202	-0.0761611216942508	0.862494518922827	1.42943445022253	-0.537923293628542	-0.00484739372461986	-1.25361049650866	0.155845085017918	-1.16148729232967	-1.14897952479504	-0.931889054314795	-1.16216551932083	0.486273069051784	0.856921490933457	-0.250964927911759	-0.262205620214846	-0.408434514052898	0.757789941179153	-1.22201247932365	-0.13622889978722	-0.121749542162009	-0.346258448956403	-1.17776999769106	-0.190912922539515	-0.932956341750495	-0.35471788483838	-0.894349978990174	-0.143826093602917	0.962398931992639	-1.39494984692208	-0.594747148825812	0.800449893165704	-1.38686895633749	0.150245769160674	-0.862730931510863	-0.727353669531357	-1.13052544154722	-0.25368309344997	-0.65908407666158	-1.25438861739775	-0.862999067763182	-0.931783902843297	-0.946526139147252	0.366610694487585	-1.41437132370768	-0.369170954595717	-1.34420374677737	-0.669457269324813	-0.261774499181706	-0.208515278868203	1.91455076397643	-0.479769272316828	0.036245801336618	-0.318298672685208	1.54105273721717	1.29385214287361	-0.376021572963782	-1.25691751028726	0.968913065651911	0.238536202203583	0.321973894836879	2.05923918875704	1.64457436090649	1.55714091235629	2.34251725297141	1.66455314049103	2.03163692748893	1.84662291338902	2.16297111538936	2.81496281440985	-0.303740451456373	0.309518703037996	1.57091575512247	-0.687443428524467	1.06184593616144	0.976499744320458	0.834182485222115	0.996189357358373	1.21351641864949	0.766612149637797	1.22953624533214	1.37717416888825	-0.0181175094276093
KRT5	-0.908441125358274	-0.931991615727338	-0.431028402110535	-0.474572848877752	-0.758148697116768	-0.859059574947241	-0.804493337026666	0.00634444599391954	-0.0391514755820119	1.11787101019147	1.69729736774443	0.839964831367123	1.05958080407084	0.0592478888112115	-0.203906757065613	-0.926529795700583	-1.03720959476284	-0.882742857980803	-0.0629675512800723	0.121654667531293	-0.472269184828413	-0.662664997748398	-1.26164651854726	-0.279575481453196	-0.820982721800887	-0.755821938690994	-1.02147655081685	-0.353893184819362	0.585493671029665	-0.603433695788058	-0.124999046383093	1.32785662792201	-1.04632032626625	0.553317431062322	-0.016432382764589	-0.328044803995067	-0.0416052530781756	0.694551090147401	1.25240152651644	-0.240009041026818	-0.452662059235537	-1.08649299407403	0.156388609688755	-1.02986558305668	-0.614022467383269	-0.906264480379324	-0.939762873397542	0.308390021786413	0.36290429736001	-0.510525019392134	0.162243034114897	-0.177163469154481	0.155164607737728	-1.18950546016004	-0.480866066456149	-0.366791394058021	-0.337900329138483	-0.893868573828116	-0.240886627331329	-0.756618694677983	-0.421271028066966	-0.638750770950491	-0.909289843692241	0.4397161933811	-1.06602560295897	-0.549306251019739	0.209846317540474	-1.29880537023034	-1.05372784750761	-1.08160275986403	-0.730701030724385	-1.22046924536457	-0.697167996141516	-0.79606388962808	-1.04864708469202	-0.867113738728767	-1.09043635885022	-1.00911528583029	0.579650793791741	-1.20560801412898	-0.110749816123017	-1.23530738222373	-0.666764249565519	-0.0419112535659322	-0.534352642278411	2.03032404952378	-0.775648460859998	-0.327929332112895	0.0331339226579198	1.57979895403989	1.60481593731255	0.27018614956967	1.12359264195312	0.954403240194095	-0.987897327481112	0.441650347407488	1.44030314678151	2.27477802408279	0.916337934235958	2.21028697788949	0.693459880860872	1.96629489085918	1.47650358184256	2.0687761862872	2.610454785558	1.54311931066782	-0.424065447615538	-0.276475061416867	1.06637632433668	1.576456043051	0.95986506022085	2.67569639898541	2.2567066745228	-0.170668175782283	1.76208286723727	-0.0143712096678114	0.0441326194348423	0.313436143037347
MALL	-0.921604613971965	-0.345605176073354	0.304475399276763	-0.460136568085896	-0.352110910413476	-0.490290557141697	-0.0700523786094888	-0.145441831782285	-0.587240336516056	0.125030040928343	0.428451755469041	0.858457496578017	0.590996542239677	-0.334995273237672	-0.101900009249703	-1.08018860931239	-1.04035666834566	-0.733556631702723	0.2783807733836	-0.636526202729106	-0.154259521301129	-1.22053683415398	-1.25447239330831	-0.922249810766027	-0.394326495091598	-0.923979296616776	-0.728878954945775	-0.30086257061849	0.0722045534145393	-0.79199174689823	-0.726092063238092	-0.248977995096025	-0.795970460461611	-0.565196112718948	-0.580026677915783	0.017622696850233	-0.162163182028385	-0.749901617152286	-0.684252843356505	-0.320379773638857	0.370025601340118	-0.250384882549743	0.0153465859378487	-0.560168954365217	-0.670936698412398	-0.695185344589218	0.30145551983789	0.306142157661422	-1.17074914821222	-0.38904842687351	-0.0355970775932754	-0.222919213469198	0.0288150690138877	-0.35040830776248	-1.35266776093788	0.221119557910621	-0.720876722486093	-0.275368336186467	-0.193974968402262	-0.737544306332688	0.304018384880969	0.121248470829815	-0.959151482959725	0.473740985985541	-0.439490270675919	-0.799698264160634	-1.55405877135098	-1.38591331796522	-0.201636680331746	-0.626588379887238	-0.712292020698438	-1.0808069229067	-1.09134513720971	-0.413942269844392	-1.27652557817201	-0.676259571963408	0.025418824778479	-0.464348269380465	0.237285322028501	-0.346384788866178	-0.22732805822862	1.07363958846419	-0.558878560777093	1.35578773093402	-0.410080050146606	0.0306879319299835	-1.23468635829042	1.00205858858967	0.398647248010023	0.48383114695934	-0.0890588008345573	-1.13244954963139	-0.550464119254538	0.469923571620676	-0.158641482860799	0.737160499294412	0.28800495889502	0.620263385703644	3.45936226730645	1.92479753689696	1.22332524468651	1.0609955235139	2.24392800115975	0.78640156017454	0.964655096667262	2.63792817673344	3.72030852623809	1.42604249295407	0.934295003080024	0.490274153833374	0.00125978926750094	0.0059374660244489	0.521189833548831	2.91309564833419	2.64196961776291	2.6499718502226	0.8852779688645	0.809126825032048
EGFR	-0.471743458450831	-0.0782436934431366	-0.129880104892851	-0.423145344286192	0.344643361449595	-0.450651086213964	-0.678062147103095	0.138939653452623	1.12268174477358	0.910960011792682	1.54758945039085	0.978768950236927	0.843766054003729	-1.10704043896253	-0.536858195929034	-1.70152906027662	-1.31375447232177	-0.917253016020384	-1.1193327308701	-0.698759174632989	-0.651727796899689	-1.023593420998	-1.26347248255335	-1.22572438423565	-1.16151015414556	-0.614140764944091	-0.621849986730075	0.15954882660319	-1.05570419664218	-1.06192721517788	-1.3738615101783	-0.532538688945434	-0.369839699629255	-0.419352963578556	-0.67529473415428	-0.282373343810491	0.15644463853362	0.251034520276185	0.17556028723562	3.0074510292787	1.15338685034853	1.17173377323142	-0.20405116464006	0.530147883399527	-0.800604363868348	-0.883158195643052	-0.954371491286236	0.339006038776083	-0.167774627176096	-1.0212067103596	-0.371274654491603	-0.29590291822692	-0.246916780553583	-0.359040932170255	-1.08584556994978	-0.468932118312353	-1.15870613520535	-0.854744625128895	-0.731309222173813	-0.979248923032461	-0.810275666792646	-0.502053219318806	-1.03768672768178	-0.080088635409013	-0.524470728443862	0.00149879819308855	0.0953638813062029	-1.00166643215752	0.0622354591014728	-0.522076696607189	-0.621557138798983	0.744527211355085	-1.04284817246727	-0.938850550938384	-1.23161794884887	-0.931492746669709	-0.486942266074482	-0.698239369555302	-0.37457651491466	-1.42713054884385	-0.291781083596806	-0.972535384212188	-0.756896810152936	-0.107147784241871	-0.882718923746414	2.63304494937817	-1.00907548481413	1.32122532085537	0.366724095453896	1.49428380573391	1.11435754233231	0.72213166582486	0.00362926689177945	0.0128393343246081	0.375070261490005	0.676520600557354	1.44034121682685	1.87472255301492	1.82195867703051	1.79111446868829	1.52851040768023	1.45252369076026	0.205108643482755	0.62442295361617	1.04479883749979	1.5374495907768	2.02827004448449	0.206104326448467	0.672369481134131	0.923757466381381	0.915316124767669	0.80707220823796	0.398315066020396	1.97497904222411	1.88524311493939	1.50440170175312	0.329451875024221	1.37263477515849
MID1	-0.690755638276902	-0.368617952230598	-0.841745592453146	-0.248452535318305	-0.75570761805241	-0.979918417834819	-0.573019055668469	0.218688105696641	-1.2049568777144	-0.143301027271591	0.815848733379029	0.123367961981791	0.337554018904957	-0.766374377622546	-1.1073548673765	-0.862622738268806	-1.16419268414325	-0.867348909477909	-0.722724976422927	-0.874720498941534	-0.947964549970983	-0.82814721440797	-1.55144478792806	-0.97431817568197	-0.936810476511857	-1.07332024655808	-0.684815049915869	-0.695922712528425	-1.22754348971208	-0.998614253861662	-1.00702235223203	-0.679323099738353	-0.428967523054525	-0.212592421201447	0.290485685341307	-0.888581871783943	0.638288569541135	-0.412584494215114	-0.124481428987226	0.10525226153708	-0.305599757728863	-0.61116103640838	-0.383693742224937	0.103457708803018	-0.474713147490913	-0.940190733170414	-0.269066686336732	-0.748103974355932	-0.810387330453633	-0.24842932989502	-0.00963778914835813	-0.183964664008502	-0.875323839946951	-0.59764774491525	1.63099337226227	0.943687410257655	-0.884783917506252	-0.593872996060844	-0.983546199008418	-0.502830385371582	-0.864788577775433	2.09241000886685	0.51380694389778	0.302049721278473	-0.555963069553786	-0.325471335202161	0.882386417079031	-0.82977159403794	-1.09175308778769	-0.0384511897275852	-1.06762718271209	0.921727344688682	-0.955622339655127	-0.933786036343675	-0.917062661296081	-0.824140411320711	2.20876973636036	1.39423617362362	-0.46866426715455	-1.32171883254485	-0.945512510243839	-0.389371335788736	0.49130541845215	-0.181033045533462	0.516754032655011	1.03382500943879	-1.51905001702181	1.14571382537933	1.07950875274642	1.18450555797123	0.323035159069465	0.588095238975067	0.384908552689125	0.165362042987059	-0.860804980111459	-0.47446562297587	1.27448071918937	0.631195445156933	1.94924028233775	1.66055708152773	2.30762483955566	0.818030043167845	0.533160266917706	2.55376476434266	1.56795970747835	0.248754599133272	1.75217209265802	2.18273325143427	0.464487684275457	1.15158479747051	0.470652591728248	2.0935857503133	1.87673880485343	1.32656915932374	1.19743871388223	1.4865164068881	0.662631058567398	1.18637746211624
CDKN2A	-0.683127380880491	-0.788125481800671	-0.398976431489919	-0.493295010557436	-0.457129093558805	0.084044068148949	-0.830164275953383	-0.74122845105637	1.57028612462667	-0.427300380751329	-0.386671765007503	-0.764995116435404	-0.594071174899793	-0.181628384895914	-1.26953803410746	-0.524628486910981	-0.840422464013147	0.153237395321555	-0.224587234473935	-1.05719440113523	0.565697382623104	-1.1683147400257	-1.54036107780429	-0.223409219583585	-0.426775863172414	-0.332543270593243	-0.714340476150351	-0.281811242468678	-0.546813000904435	-0.0582807673625426	0.0231484371018013	-0.546684021171915	-0.498196240393199	-0.538369127748788	0.161466302256336	-0.339370597767972	-0.0835865908829829	-0.462537643675815	-0.974784950703732	0.213109787157376	-1.01027157444442	-1.10198476291504	-0.796259803598271	-0.814807089134659	-0.355364084600462	-0.202548897510671	0.0172153694058776	-0.255705744606613	-0.304924410536276	0.575259080127259	0.0474396200597497	-0.35832201979959	-0.780386697849467	-0.604260573768879	0.0260891750032593	-1.04686742388479	-0.319576508150557	-0.746172674136307	-0.159581449283814	-0.262318105560476	-0.99567106872315	-1.08207029221394	-0.350763807473913	-0.764857538054049	-0.0147716042591027	-1.10778025222961	-0.302284625344032	-1.17245069011517	-0.632257774374572	-0.500431889090214	-0.441230191863497	-0.972119369564984	0.336113458737361	0.496469660855159	0.0406810820756975	-0.660272172277933	1.05366210534191	0.664667830710179	-0.584922212539701	-1.10118508857341	-0.921963450912342	-0.141378109700813	0.22296383872191	-0.353764735917213	0.850269665806575	1.3968427789825	-0.154379266738838	-1.2768898788611	0.817852759699862	1.04756566331812	1.24083749317505	-0.0177295394582294	0.569300216484831	1.23319329436103	1.27746773721075	2.14698890331929	1.13210757866062	0.297350749790659	0.0658579258636172	1.25672779622152	0.15915326571981	-1.01782118812127	-0.491145348348769	1.26584236398627	0.483064367321906	-0.0701726987008945	-1.67783627537302	1.65334907236961	0.907571061640829	2.33392352898506	2.45722815327426	3.03015612512846	2.76058848416149	2.50581051919016	2.16143463336154	2.1769981877523	1.88034480295611	1.96538543993102
LMO4	-0.727033747881172	-0.169271830278446	-0.0474639958118234	-0.187550976006169	0.652191561737408	-0.17147701791711	0.199481595017558	0.364507564731899	-0.418449177272258	-0.520968262032009	0.203192332449688	0.380776358676584	-0.0903278840493138	0.106819433317378	-1.32377169278415	-0.670549062100445	-0.986059161759301	-1.31383506414727	0.511121546089681	-0.397318343112206	-0.863852799406173	-1.45279731008415	-1.41499915409291	-2.22213325454507	-1.72797638762864	-0.318560376563444	-0.227217784976359	-0.425507548951035	-1.3708599766186	-1.06642009602934	0.634390649473492	-0.808652259037518	-0.864871259560575	0.559715379717598	0.161444322294413	-0.0622360961382969	0.672560764825472	-0.45290855519211	-0.508374780818432	0.663616027817235	1.47572729876309	-0.547368520469192	-1.08522175609715	0.979427237434784	-1.24488088360655	-0.240457766983601	-0.274058095903652	-0.25104089641414	-1.16556497801668	-0.233620799686217	-0.190836617026027	0.0187093456986185	-0.333013654580713	-0.414924419520498	1.29382145901142	-0.139019135605043	-2.08983085240047	-1.26638367712734	-1.53243203798322	-0.633308845150311	0.0552056439272753	-0.705973763123166	0.048979752722532	-1.02437983209063	-1.23644094858789	0.550097573389929	0.282322258359188	-0.087307928287128	-0.60366722656955	-0.881653711670089	-0.539442243615358	0.952770149915187	-1.44212561890105	-0.955957022065244	-1.57972401384855	-0.654935625124681	0.816207927472602	-0.482426187319291	-0.0138990915927958	-0.156873184920494	0.210401259107812	-0.363036088697469	-0.922117576413291	-0.128657410555898	-1.19012315200068	-0.592862692757621	0.0369176420242963	0.389349136324082	1.01316926515893	1.46837667330088	1.19693490171428	0.357502330104657	1.22297205696598	0.912740237759514	1.37104730724095	1.51478303164064	0.540940288175556	0.857034895401287	-0.187444701903101	2.56078589108901	1.29824954663926	0.732339947801312	0.63412496421582	0.70196326667433	1.11581233637226	0.578419621857594	1.52549900370001	0.278673514153849	0.887145891270598	-0.357917219399686	0.429449897881801	2.46983297121317	2.88731307276593	1.61822315862698	2.17536514396181	0.447897310939382	1.17665426037878	2.36736702350495
CHST2	0.0817752219244509	-0.546820476969588	-0.758374630795891	-0.515544254323325	-0.178969353637138	-0.630324709829831	-0.756237380176534	-0.60356700522528	-0.459243687811043	-0.353096378507137	0.154466986100151	0.975204881423417	0.189201515850965	-0.849275097098713	-0.580839785056445	-1.09585828371393	-0.368528337703598	-0.321601382175426	0.401706493771706	0.148055234242079	-0.120464221525361	-1.07849101883852	-0.729748935492531	-0.850722369171663	-0.851134673425004	-0.958266464313417	-0.314264049340468	-0.389892429524654	-0.542579633220942	-0.735092062040924	-0.556118358601044	-0.478083467876952	-0.815870038205609	-0.956196528674197	-0.69311275755284	-0.0678070783130074	-0.593015382088767	-0.299564140552999	-1.10731024470978	0.407403023965819	-0.416380874208656	-0.376151759204141	-0.675375260286677	-0.86250249069568	-0.108541055668553	-0.531464247125781	0.197901977033703	-0.135122058450245	-0.68231711761333	-0.643787705857279	-0.139606919001888	-0.273774088787919	-0.811890040004994	-0.210052045715507	-0.574562663158647	0.286412761541652	-0.249271436017965	-0.872086460992719	0.0738152255232228	-0.79496032250048	-0.364851256913601	-0.275869267544691	-0.697824806162446	-0.614253258322066	-0.673793358253452	-0.321601382175426	-0.941631249847003	-0.9907291134846	-0.612511483211015	-0.811486150124171	-0.560106771174176	-0.348779805405836	-0.498311619408192	-0.319009755440143	-0.851622707030999	-0.822365933788852	0.387654491668058	-0.760621268257971	0.0703064321835691	0.491874909665535	-0.137637955832874	-0.410255211016168	-0.189512562401132	-0.109979913368986	-0.618031311582268	1.23775013270368	-0.329628693556792	0.285058047566391	1.11775276623653	1.36315794069935	0.499229071245529	1.25362805364355	1.47012985850994	1.4801177186878	2.56484813736428	2.02809531449498	0.671782608454819	1.06258814001407	-0.130578297290981	1.44073845530752	1.16244991304766	0.818285248350999	0.744836190648756	0.457333910482616	0.277762786594017	-0.121743206147969	-0.0165719640560529	0.19486438855501	-0.733686861830559	-0.561495142639506	0.57712091763683	3.96441913251513	4.47104850177301	0.764374363633589	2.83133972935508	2.42200574951306	0.654676189127444	2.65717904699502
PKP1	-0.812386659183597	-0.729176761655636	-0.114786798989153	-0.603065893437801	-0.827568630315525	-0.321288811508364	-0.509971467168894	0.467614470894127	-0.15529976426455	-0.484557346254669	0.456097634654674	2.2297357574053	-0.00926869898162426	-0.740890079353242	-0.410408266739245	-0.387442607072777	-0.617605521341151	-0.766009478080237	-0.949870781036849	-0.818606053032067	-0.693870555021305	-0.857947686537703	-0.935973496362077	-0.673648078789825	-0.583886280330366	-0.761724670896661	-0.871436894337849	-0.867922899028567	0.173171891892956	-0.982456475173673	-0.389490548425068	0.0323778131677342	-0.836281827286712	1.07137932086201	-0.952470381867802	0.303726263856722	-0.345350233152994	-0.487829518230839	-0.399125696853744	-0.369366312922666	-0.391772756131311	-0.549675835674198	0.451691915804543	-0.957986976654416	-0.635220839762519	-0.818341558761476	0.804247664544158	-0.271261609470847	-0.480257425112773	1.02908290850491	0.76049275520923	-0.614015956240272	0.489552381394868	-0.921494324292005	0.00455301590155086	-0.45985358138146	-0.399125696853744	0.554958036022467	-0.966390337480054	-0.884064606513784	-0.60101039510635	0.935716430986254	-0.301640665693025	-0.216942043270595	-0.999096943283433	-0.491849831143823	-0.620409160609417	-0.738207351751533	0.457850853819735	0.0950856262353039	-0.663499055778287	-0.879386836413902	1.21356388375262	2.91149618928092	-0.57276996398638	1.36917719861011	-0.459966936068857	-0.855098705394479	-0.41737580152453	-1.23571351775423	-0.788370579413925	-0.766923872558566	-0.592198957406086	-0.667194418587402	-0.901800836601707	0.638651580216651	-0.624943348105264	-0.792821640139015	-0.4913661844776	-0.0452021348862151	-0.702651764804929	-0.905715351806456	0.35194734787506	-0.818628723969546	1.01831421320227	1.44037149927407	0.0947380051939553	1.31080709158023	-0.0146417111642034	1.09639292188077	1.98823737439731	1.40388640389082	-0.12113466148334	2.31928596044829	1.48055195746644	-0.673935243997895	2.43876935794303	1.70486576986517	0.537486300205135	0.00587548725450596	-0.468544107415168	3.78931488847698	2.3167694863881	1.23796536945944	1.45983827758958	1.28540808462433	2.05511663996106	1.25932139256488
