Symbol	Distance from center	Core Coherent
COL5A2	0.0439167552326307	Yes
COL5A1	0.0554520850913491	Yes
COL10A1	0.063873045340493	Yes
COL3A1	0.0719680079029336	Yes
POSTN	0.0776524962672156	Yes
NID2	0.121992827431011	Yes
COL11A1	0.162143420169281	Yes
MMP11	0.178728671631526	Yes
COMP	0.198608436423981	Yes
FBLN1	0.268154838803837	Yes
CTGF	0.29895103884812	Yes
EFEMP1	0.506090060926293	No
ECM1	0.513985507907725	No
COL4A5	0.604148688928664	No
SGCE	0.617989524202357	No
THBS4	0.654612653971112	No
KAL1	0.716240140410434	No
FBN2	0.727560647877568	No
MMP10	0.759779023070511	No
TFPI2	0.892580308983127	No
MGP	0.909827241321385	No
COL9A2	0.941782637905068	No
DST	0.962658121128163	No
LAMA3	0.967335899140992	No
CHAD	0.967499493733549	No
PI3	1.00882848944526	No
PRELP	1.05455565151722	No
COL9A3	1.11811377258726	No
DMD	1.19362607474244	No
CHI3L1	1.2289967095061	No
