b0494	b0504	s0195	b0574	s0138	b0244	b0243	b0252	b0251	s0200	s0013	s0210	b0515	s0042	s1616	s0132	b0340	s0183	s0001	s0084	s0025	s0176	s0190	b0383	s0204	s0177	s0047	b0671	b0339	s1551	s0060	b0502	s0109	s0067	b0341	s0040	s0055	s0088	b0556	s0141	b0427	s0050	b0629	s0019	s0006	s0350	b0327	b0394	b0551	b0326	b0434	b0519	s0033	s0018	s0104	s0087	s0101	b0359	s0154	s0035	b0626	s0136	s0229	b0344	b0694	s0201	b0433	b0672	b0382	b0387	b0305	b0667	b0554	s0071	b0772	b0338	b0565	b0165	s0168	s0162	b0679	b0664	b0334	s0205	b0668	b0512	b0566	b0542	b0336	s0170	s0037	s0103	b0241	b0499	b0404	b0354	s0175	s0116	s0181	s0059	b0421	s0046	s0004	b0521	b0627	b0428	s0107	s0106	b0374	b0370	s0077	s1511	b0318	s0146	s0026	s0080	s0086	s0100
COMP	-2.38527638392057	-0.956854729028656	-1.50733507484397	-2.44108911359871	-2.31268041161469	-0.942537033602758	-1.63615678727296	-1.82969598488318	-0.85467219030073	-1.56957449735532	-2.43454978155323	-2.38761051870809	-0.103449995024147	0.22927998027762	-0.148662123281191	0.683034531425922	0.14129624002931	-0.873069928304288	-0.148874886237694	-0.4893081321117	-0.387375902744366	-0.0902586917209158	0.33573029360365	-0.75499274517873	-0.76163220096845	0.729266670327381	-1.32692460319683	-1.23837140915317	-0.0651526628534751	0.113048828686432	0.408088472016964	-0.540383757140626	-0.604850932961257	0.489864540122575	-0.715687917831673	-0.161728271904126	-0.268428894590749	-0.295061810557805	0.116753407223203	0.221589225173411	-0.60951920253631	0.452699857808586	-0.194262231047153	-0.0562917114884958	0.0907525223916441	-1.00462627049776	-1.08667142116601	-1.44346864148876	-1.0909767421682	-1.71807678326091	-0.626045878069438	-0.702834532165242	-0.351350128021072	-0.838971535657558	-1.43841239240479	-0.512768376933244	-0.611052347369939	-1.04160947852532	0.520602529603351	0.448012815031488	0.671188640935877	0.00655471122229807	-0.6994803867333	0.189643493027777	0.0439258987587778	1.12917967801221	-0.78182590863426	0.721037750097899	-0.572861396677519	-0.673560852443934	0.601658958297259	-0.895259853120825	0.189574657953613	0.623848883113796	1.21121857094644	0.266663683282129	0.763239908293816	0.924426621047439	0.177115509530116	0.545595919258524	0.891698672149953	0.602228412092607	0.879201977322366	1.23005435033104	-0.624738011660341	0.589506438840487	0.886291989961152	0.0966222768975414	1.13543741202703	0.649430499766362	0.626977750121203	0.233278672313087	1.45864937389226	0.992761076489227	0.50773662846889	0.455584673189415	0.689461224259138	0.644474374426628	-0.472844033918719	1.737306269572	1.69381501816903	1.38906337164751	0.691651431164324	1.20264547534615	1.42085266044277	1.08687739607206	1.52266599286382	0.944701679255442	1.25370858490704	0.446285680443399	1.5965698315788	1.11597585924095	1.19119382209903	1.61427921884072	1.32686149554024	1.62523025336665	0.294460537775941	0.511322310059379
COL11A1	-1.094472667385	-0.638799819805936	-0.305187725473936	-2.51159247473226	-2.81544676332869	-0.287233143542256	-1.5131667857422	-0.91981861653522	-0.424924752967514	-2.69666528661224	-2.208840327089	-1.27645079777086	0.250866817096001	0.796779491190467	0.341372677634585	0.594050706996659	-0.796378829780255	-0.351265904141661	0.300327428344141	-0.52001291382371	-0.40945677476269	-0.330004899350473	-0.517928075764513	-1.32401116599629	-0.812129129805596	-0.798333365460753	-1.81787889833174	-0.375268688151324	-0.302630541291951	-0.0257542743521654	0.403374892832585	0.43969668089516	-0.137922905349596	0.865622581270206	0.032393162142631	0.436764877374415	-0.346167823575029	-0.115011403761544	1.13192806773797	0.686239639926784	0.587264124772709	-0.514990842977987	-0.254684695196195	-0.0711429362659373	0.47379246998828	-1.42911632221504	-1.01091083777796	-0.860433307442776	-2.11703144276341	-2.82215190656595	-1.39161638347838	-0.787670287470484	-0.922652693271942	0.110466004046941	-2.25172609747858	-0.426618683890612	0.630969714294942	0.901129979465908	0.430358343755006	0.171816707351442	-0.632290130136724	-0.265336914654906	-1.68693043700419	0.425689175184929	-0.270988780331011	0.497138312838666	0.436656292058832	-0.105293018016849	0.343110042683916	0.798191100293048	-0.0459511430506381	-1.20965997015564	-0.238201444290668	0.858510243099508	0.201949132425775	0.834621473671207	-0.0803726880905078	-0.065930841117944	-0.879511747390742	-0.376577141204101	-0.487904236005762	0.857967316521592	0.636127516785144	1.38580053557146	0.698346902614309	0.805520609094913	1.02502582454632	0.467711692315623	1.04305098693313	0.733962886125594	0.577925787632556	0.421888689139518	0.819148066200603	1.25614966876513	0.23007272916182	0.0429259377541996	0.795639345376843	0.912640022917726	0.855469854263179	1.42820310130669	0.806932218197494	0.743844149843664	0.207106934915977	-0.0049058937601941	0.919698068430633	1.40605169692772	1.08681086911316	1.016773340562	1.15190776580528	1.13268816494705	1.28617350852388	1.15874864068702	1.2098923243267	1.46637083973418	1.45616382006936	1.57338166824141	0.683090665774871	0.603063288190064
MMP11	-1.28872839668396	-1.18691350382032	-0.988569834264436	-0.922586911044965	-1.59312000888164	-1.38231274431612	-1.5592971790667	-1.10614608268502	-1.61351624218258	-1.29348105159036	-1.70380282926743	-1.59579424327504	-1.16824235954517	-0.557851823286433	-1.51274748764381	-0.38927806354513	-0.486541215485297	-0.519207057881329	-0.728441650925348	-0.0804594156547567	-0.985666973614609	-0.855537065295486	-1.06891464322876	-1.15131708850095	-0.652814856525543	-0.725926762104614	-0.579931577202902	-0.224812648351197	-1.17603643646894	-0.811384485530924	0.268057064033975	-0.424507291240532	0.867307266343021	-0.335252986343804	0.445879795058141	-0.0267738138038873	-0.458648812200796	1.45965018448052	-0.104333539280785	0.952432442487251	0.0271265581666589	-0.624181149924737	-0.351416169866591	0.0772303486667866	-1.13659494320051	-0.137976239317928	-1.43069144579045	-1.4993832437452	-0.454311841396996	-0.777069762861243	-0.2719235133126	0.0599240338618476	-0.847888477807635	0.028068775465887	0.211662587447826	1.07809374670342	-0.588286827665174	2.20696013606753	0.864882442411185	-0.63303522131013	-1.06565152302334	-1.02458886175478	-0.458274696508455	1.13292247983644	0.8098943637055	-0.329384912428758	-0.139888386189891	0.233174239757407	0.541445570246023	1.14342543149548	-0.500854604751512	-0.609271946778128	0.781260657104694	-0.0962276992800733	-1.42839132708939	0.974643829702877	-0.475622579723654	-0.825767155480905	-1.64861383657882	-0.239943549685859	-0.275650814099252	1.35480079766789	1.1288626317677	0.579134262215145	1.96233004168707	1.72445481397387	0.778461717480517	1.23949002760648	1.30138539048371	0.63197463972406	0.267537458905724	-0.212210491974022	0.212916567824004	1.3537892996849	0.345512868485224	1.56603067440439	1.66019005171181	1.28880401831167	0.756215689923007	0.0027882539593932	0.331199479219009	-0.0158828903157512	0.42403559546648	0.657469931350231	1.61370271290431	0.556818953973869	-0.120295808820649	1.64092309355627	1.54388856787254	1.12386749446812	1.52929805587125	1.41372401921153	1.4829146380894	0.813628592560529	2.00154290869906	1.44787939630855	0.448463964562642	0.130098438449208
NID2	-0.685035490101196	-1.20850035562145	0.0151970355464161	-1.65596172630688	-2.47759709119361	-2.03976646409679	-2.21229736214892	-1.79244667343004	-2.6054841848052	-1.77000044184865	-2.89266588140772	-0.388576910399423	-0.0495594340051904	0.0233453905985463	-0.609864045606199	-1.01614370636854	-0.949197127301746	-0.586528380902917	-0.127571326212022	-0.366819272202716	-1.41280218733928	-0.743097301746124	-0.960501535367025	-0.48986708452748	-0.911008885842646	-1.23505901991695	0.0809672675810348	-0.437926102968659	-1.18027759064629	-1.14809541370918	0.372835224718227	-0.0390870762797429	0.155038875419934	0.796731399572143	0.123688748822657	0.481508650137648	0.0325170719306962	0.614847108044679	0.771301263323771	0.0371076944952757	0.391245533961595	-0.530685370164203	-0.952640094225182	0.523398081039442	-0.826876163549708	0.19039623296421	-1.15829998511837	-0.443224446511945	-0.479279961237917	-0.591405917377783	-0.201069106230349	-0.126098501472552	0.17808762621293	0.257486268986144	1.38508662780214	-2.31393183296932	-0.0476275470092631	1.15872111638329	-0.120121128341589	-0.226527933869749	0.352493028478931	-0.195043914114338	-0.357714537449633	-0.274461684481572	0.0480199868831624	0.114832672791821	-0.352186662778117	0.0685247676716199	0.284293592003891	0.602155949413017	0.0465567259407036	0.311320882352855	0.509396682217473	0.714951371343551	0.903157332694321	1.26904907868537	-1.19089340532688	-1.38297270446652	-0.923413130564022	-0.287305863865387	0.450512384029725	1.42045354914342	0.594428401429308	1.40111555159013	1.06445076926024	0.923403890963522	1.66022750396964	0.291083887880665	1.03711743740697	-0.555666007953126	-0.00920021062492523	0.604910322951765	0.281338378727942	1.11786457555853	0.218389466811138	0.65153383337328	0.643653264637419	0.546561597396551	0.203699474604483	1.1770644790476	-0.272988859742103	0.800212621683615	0.583009227799914	0.401823093454148	0.971337641575345	1.34270944325286	0.901254137089423	2.13123494289256	0.56702812299697	1.07892079413568	0.76004467424354	1.74822400025443	1.36752749649262	0.72166515684425	0.779736532286187	2.06065412096214	1.13007754433972	1.36384543464394
POSTN	-0.87717819442745	-0.881698081041989	-0.982334740153477	-0.890184398767247	-2.57983793064138	-2.65792127797216	-1.73438852726252	-2.40896776809498	-2.41686373328283	-2.31795201049159	-2.82532311936127	-2.4550429387881	-0.20297714818926	-1.29199309454144	-1.55608361244812	-0.261274461258426	-0.385064008946434	-0.614932528200172	-0.031498184588658	-0.0674727923370356	-1.4190111326684	-1.60912309823098	-0.844616562285968	-2.11814534935374	-0.502212090588587	0.197540151409348	-1.19809014405977	-0.444744960775153	-0.482287692451024	-0.857438281457827	0.417907684514155	0.358595703021317	0.341346339818889	0.455450416190027	0.0911844520917085	0.60451443188587	0.45674181236561	0.588740950026965	0.156030988622759	0.564296665274863	0.314872718219443	-0.365693066312691	0.354168058990748	0.71105461637145	-0.557004185466885	0.447425311384619	-1.42731296522572	-0.704223349483325	-0.159623133723265	-0.595561585566429	0.573797651423793	0.5957513864087	-0.788809798983998	-0.227329190357391	-0.352963589724804	-2.07384123627285	-0.356284322747731	0.497974247400289	0.0918301501795	0.291996557394832	0.321606426849266	-0.230280953044439	0.177062297767964	0.229271600295097	0.357765519765586	-0.102893944581592	0.266260876467148	0.202244523191829	0.264969480291565	0.36883462984201	0.206026469134607	0.52140386372872	1.06572735173687	0.181120971462653	0.446871855880797	0.905317498212692	-0.359236085434778	-0.371688834270755	-1.21266447232707	0.269858337241985	0.55424222362211	1.40388866457162	0.864638518681833	0.70155363022252	1.23812874117717	0.742601580089258	0.989073764457633	1.11028051979447	1.07744215990108	0.420674962033261	0.716589171409662	0.6601367100199	0.643164074569384	1.1606449706422	0.533948855148666	0.769536414608556	0.843699452120598	0.72470651879904	0.584497791164336	0.818701711864673	0.303711365559048	0.567156185377939	0.844252907624419	0.873586049326942	1.32778853279621	0.473253234896275	0.628405261134152	1.04534174067945	1.18490477022637	1.01739223773648	0.957619043323794	1.08057840775607	0.810492121891326	1.18462804247446	1.04515725551151	1.04976938471002	0.855690988036723	1.09662861736689
COL3A1	-0.894989893240457	-0.675265947399715	-1.20419589467812	-0.740197311895361	-2.05294835846501	-3.03439778160585	-2.27513685244719	-2.86077036504136	-3.0389477166362	-2.66184341390185	-3.03730784421901	-1.59463719447019	-0.286151711991498	-0.419616472881819	-1.54003797410597	-0.596305616560484	-0.600381600025174	-0.0923055216358811	0.427808926521217	-0.133634098161579	-1.424014630832	-1.12191790287926	-0.792521564744409	-1.18703884800117	-0.801052692926317	-0.0976137791712927	-0.948546420160225	-0.498766384347315	-0.910725085220424	-1.08030495541416	-0.200176897980474	-0.0159993195643559	-0.0439624619383923	0.164197065700206	-0.0828264903226482	0.276049635196354	0.662699322463132	0.608574053664571	0.400414526025974	0.287519263085367	0.436434845016258	-0.884657749109033	0.314534502328082	0.327141613974681	-0.517345285721253	0.148651454346503	-1.2536764381332	-0.382932621699608	-0.992244754514229	-0.574693425166312	0.365910852045805	0.428093297460614	-0.539621009307351	-0.0250991896250587	0.542126044158808	-0.675171157086582	-0.0523987998071703	0.427998507147481	0.00769825871872705	0.164197065700206	0.707440350261592	-0.320181434406005	0.352640208207277	0.195667449660138	0.60080124798772	-0.306910790567477	0.0596433503152444	0.334061306833342	0.230550284892836	0.27301634517612	0.0969907336893832	0.60364495738169	0.686302110433082	0.478900905299542	1.26025745644934	1.05503642851785	-0.343120690184029	-0.669294157672378	-1.2281778439006	0.625541519715258	0.474256179956059	1.13977896845815	0.551984236724569	0.914651974768866	1.01171725541637	0.839862417707458	1.05759576697242	0.854649706556101	0.919391490425483	0.161353356306236	0.785168407030103	0.594639877634118	0.323539582075652	1.01550886794167	0.250077089398097	0.735877444201291	0.777395601353251	0.706018495564607	0.569710025280315	0.873892140121964	0.262873781670961	0.551984236724569	0.498522500117934	1.05806971853808	1.40651890961253	0.865929753818849	0.437098377208184	1.10849816512448	1.07702778116455	1.07712257147768	1.0689706045483	1.30073292015685	0.903940669384914	1.27874156751015	1.24793471574214	1.38500150853149	0.839009304889267	1.23447449127735
COL10A1	-1.72157080304349	-1.77070093656108	-2.06760537294043	-1.82748851684647	-2.19512461485949	-1.63395680279114	-1.83975840953971	-1.58491094051458	-1.13495307618558	-2.06105468847142	-1.99528941197549	-1.89351222514821	-0.791351136112897	-0.48249141967346	-0.636758353493863	0.190066118781763	-0.545301584650775	-0.869217762820016	-0.319449040620984	-0.780126206808364	-0.823846126652145	-1.27599504324779	-0.542189166815584	-1.77894266393332	-0.692821201106442	-0.925898599533445	-1.61012489582927	-0.34294386261876	-1.45918386698798	-0.300117217929845	0.422772723748256	0.0538163762925094	0.464335299821797	0.425385132220032	0.0987610381725206	0.535572588901614	-0.364719551299625	0.289596072515048	0.351361274103653	0.937147524716779	0.77922321903589	-0.365579117958081	-0.352988994548942	0.427806525878817	-0.581167424831025	-1.04496824501907	-1.52544353476459	-1.42990803785589	-0.516087554428768	-1.52411766723913	-0.471862007138837	0.105845440501357	-0.38546151275725	0.192841451652853	0.269786712791432	-0.942438235105289	0.592641073323759	0.538347921772705	0.0426701001462664	0.387951846956717	-1.43874528199805	-0.866262651301405	-0.638690973954704	0.347035350397702	0.172408484745653	0.21719022222635	0.147582177139683	0.126177281919327	-0.118141900060414	0.0615356219704005	0.533291647311203	-0.215261696300383	0.904394102371721	0.510313688925048	-0.0217636907414644	0.894056830139319	0.316208930430749	-0.160732585274459	-0.56440306594978	0.387979937370392	0.309439140735073	1.13939850317683	0.69910935923477	1.16878107588089	1.56929419405914	0.972541445947288	1.13687036594608	0.804954037962197	1.00080040210435	0.771189360724838	0.710176982222722	0.744054021114782	0.785066025080291	0.809560865804898	0.395266590677689	0.40085096491628	0.706244324308221	0.930293463780077	0.639445320589055	1.13389278209653	0.880404889093265	0.573562064355694	0.565623713451137	1.21299538700535	1.30204199835512	1.17883744397654	1.03158749549215	1.56148505905749	1.48462968724267	1.49496695947507	1.28417649525782	1.01686811872645	1.4250218294243	1.35007660573938	1.34361581059413	1.38490871869639	0.774447848711139	1.01484560894185
COL5A2	-0.750895551619354	-0.34695174858158	-0.816712700681976	-1.3341756846732	-2.56197437077894	-1.92969351177233	-2.20309358669841	-3.07810536086047	-1.73324938497866	-2.59597351532381	-3.41074586492008	-1.80751637040589	-0.00109952993021975	0.106042730180579	-0.616580615750851	-0.35456076379069	-0.348958064408052	-0.46747222252284	0.155659503316581	-0.281217849138311	-1.34088560399327	-0.783837425998407	-0.840963314800295	-1.30787712991873	-1.19898662780146	-0.606648936161715	-1.17840732189673	-1.10567212946564	1.14924371032697	-0.533847144035147	0.0265393436958765	0.0456867561476894	0.142006565742246	0.380100477099575	-1.72848785950888e-05	0.426637014319416	-0.12489171391216	0.230667410356077	0.705273490302977	0.476670035552197	0.486493490636172	-0.932388046776735	-0.56786293850389	0.440955948848598	-0.194987893409666	-0.400522878636978	-1.77515724336233	-0.468021670010587	-0.723672926090036	-1.34036113139133	0.085313574961008	-0.116816500834655	-0.860776724206953	-0.144039126363973	0.178886147116825	-0.557231962112166	0.109788963051586	0.85420705933034	0.219178962884989	-0.0279891569821134	0.189292349536288	-0.392614164798185	-0.228204491532596	0.264966253530629	0.235995385994842	0.100631504922458	0.205193026833228	0.0600889402962276	0.175639411961952	0.507805393191233	-0.983686462223723	0.0426065202315279	0.570658855804793	0.830980415530098	1.16131490513355	0.732412866212937	-0.732988558495939	-0.154278829544725	-1.04927883731409	0.307590058640752	0.222841946136639	1.29734478316078	0.704440994109419	1.08938723401022	1.09105222639733	0.816078733665425	1.12943030092032	0.628850339734435	0.916644273847123	0.249148825853044	0.46984356676503	0.128520127406621	0.554924677746565	0.927549973982721	0.260054525988642	0.689123064147968	0.784110879832833	0.747231298458254	0.769542196445584	1.32356841325783	0.131517113703426	0.502560667171823	0.556756169372391	0.693618543593177	1.35320527774846	1.36635871760666	0.780614395819893	1.47824620602074	1.18429180007573	1.07956377892625	0.883094677246772	1.25738496587004	1.29859352745112	1.10553766016523	1.50047385438871	1.67255081759697	0.975168756254187	1.08813848971988
COL5A1	-1.33053646461703	-0.67633717000098	-0.963727535044249	-1.34613623977371	-2.76715226882839	-1.62642816108656	-2.20213294893682	-2.6779050899029	-0.58097440878467	-2.56634611624605	-3.14623436560844	-1.69569049074023	-0.160628932591776	0.125711366810899	-0.276514176687882	-0.285133115465888	-0.672120106388349	-0.622683016029118	0.0232081592385395	-0.651480016156806	-0.635090591638394	-0.846136984347816	-0.43058820800116	-0.908720896527301	-1.4885419416887	-0.381545942322794	-1.44417876850482	-1.22026277130426	-1.04687593272916	-0.507814235473109	0.348300081041746	-0.920674843779839	-0.0742631337840852	0.810194554501719	-0.0910473829833621	-0.0287154865576206	0.512412739879117	0.141378346168582	0.973668773429608	0.330020538370261	0.325492655328014	-0.654134582096232	-0.515299103359273	0.0393959711539584	0.415159860509735	-0.634830175359526	-1.54031437803261	-0.849984424854957	-0.782603812829233	-1.43660149484229	-0.0413246747698901	-0.20885634733304	-0.890550560682439	-0.254277986682633	0.167411573530223	-0.661266627927156	0.147552732135283	0.718460820139306	0.604297683693775	-0.101774853567684	0.890503574694453	-0.643071090506918	0.0525931961249615	0.218915193070145	0.0738885273162355	0.385539608919821	0.096670751454593	0.0601872708377463	0.308414387749371	0.43183490288239	-0.181369829124815	0.120091415502432	-0.298960379821249	0.440487443760897	1.41755252102209	1.12781840946901	-0.94085290512952	-0.15069111136918	-0.411435010716701	0.0503166538161503	0.194973696464571	0.52156931226511	0.643948162282657	1.12151801562544	1.02600404495688	0.573375350709523	1.39915537099886	0.524459092908028	0.766007792345465	0.32545065270239	0.583951611841599	-0.76284577773579	0.680490446575376	1.16394066750549	0.647644393337553	0.954767591898891	0.595309121810279	0.732237681343917	0.541444954710299	1.6636039019264	0.425500906938318	0.402953897503454	0.435825152316652	0.922845596424792	1.39436707167774	1.25029806578806	0.908480698461447	1.32707886542839	1.03658870661408	0.660917223034679	1.40369165456623	1.47501211287547	1.29986116402416	1.32699486017714	1.98181579365242	1.63420206398973	0.932590205569516	1.39730725547141
MGP	-0.586650970073345	-0.141956919096394	0.59217918730653	-1.20797807251477	1.35328095377946	-0.90385648616311	-1.1167894646449	-0.267371172439731	-1.72973966085155	0.291089243211264	0.616512105417037	0.284547278342209	0.00332256903224407	-1.23191209032838	-0.729696616539379	-1.20654203144595	-0.279657301584054	-0.189745174664244	0.97368743125554	0.0408191969402386	-0.797350106892527	-0.611542348599503	0.637893161330532	0.284068597985937	0.263166222428714	-1.13274547652064	-0.615611131627817	0.102409402780607	-2.05335151570943	0.0968247986240955	0.662465419619177	0.471551737525915	0.0973832590397466	-1.47651775238352	-1.09716357003773	-0.869311720452127	-0.584576688529498	-1.34623691541808	-2.39958101740117	-0.944384756327497	-1.34743361630876	-0.648879416388741	-0.813465678887028	-0.345715190749629	-0.319148430976518	1.01413592136055	1.03272467519579	0.227105635589536	-0.630450222672259	0.739453176919635	0.129295282791233	1.39580372542831	1.76207397803599	0.165276089571032	1.05418551116866	-2.87493454519736	-3.33410069894561	-2.39859174466488	1.32711309430324	1.46840357946294	0.684245375829566	1.35958357847038	0.071374959682287	-0.575960442116597	-0.104220951010262	-1.64836400028527	1.15032048272001	-0.30598472117903	0.061562012378704	1.72920459357196	1.2462958941526	1.50015604309567	0.832556506214594	-0.0660063025678582	1.00408363387883	0.84954965886226	-0.688929006196856	0.300343730099195	-0.23394332756005	0.633026577708431	1.22930274150494	0.549337295420161	0.162404007433398	0.301699991108632	-0.810274476511879	0.95254571552018	1.19515687609085	0.58348316083425	0.24234362693087	0.768812238771003	1.37362486892103	0.243859448059065	0.22495157398631	0.154505781554906	1.32017222913729	0.0259801058957984	0.681612633870068	1.42939113042675	0.339276399076007	-0.554978286499994	0.650817530949885	5.15865977159219e-05	0.102568962899364	0.282233656620226	1.51028811063677	0.346057704123197	0.428231165283272	0.6994833671709	1.38814483972796	-0.174267843144773	0.73610241442573	-0.868035239502068	-1.28672099112156	-0.33015807917078	-0.982998305066794	-0.848329564835526	-0.366617566306852	-0.352735835974956
