b0521	s0026	s0035	b0404	s0146	s0086	b0434	s0170	s0104	b0627	b0626	s0047	s0040	b0566	b0679	b0339	s0033	s0037	s0200	b0252	b0243	s0162	b0565	b0772	s0046	b0668	s0060	b0241	s0103	b0499	s0106	s0190	b0694	s0050	s0107	b0338	b0165	s0019	s0077	s0168	b0334	s0025	b0394	s1551	s0176	b0421	s0177	s0350	b0542	b0344	b0574	s0004	s0205	s0154	b0370	s0080	s0100	b0671	b0341	b0374	b0428	s0181	b0556	s0087	s0018	b0251	s0042	b0354	b0515	s0059	b0551	b0502	b0519	s1511	b0433	b0336	b0382	s0001	s0132	b0387	b0554	s0084	b0326	b0340	b0318	b0629	b0305	b0664	b0504	s0055	s0006	s0067	b0512	b0672	s0071	s0201	s0183	s1616	s0229	s0195	b0244	b0327	s0101	s0141	b0359	s0109	b0383	s0088	b0427	s0116	s0175	b0667	s0138	b0494	s0210	s0204	s0136	s0013
CENPF	-1.36507724377404	-1.17959968107888	-1.18827536819068	-1.55368955750297	-1.48501262659806	-0.812229867268467	-1.44915951079902	-1.46960729047799	-1.58321565286688	-0.757635350029015	-1.04341535941011	-1.02038883958409	-0.873362305624216	-0.897625470353462	-0.657572563208048	-1.27719876448799	-0.664033793167555	-0.306844730420934	-1.83852051381879	-0.81394583190163	-0.846309500066756	-2.39506823863945	-2.53100331404866	-1.6200178217312	-1.44922661556121	-1.4803728116123	-1.29610313463658	-0.858541739574665	-0.54478863075464	-0.303508665100595	-0.631689297791626	-1.25692353991179	-0.695179989218649	-0.879257938302401	-0.849118313684168	-0.527312633401256	-0.892477576453974	-0.640393744087223	-0.00640712369846755	0.0628354044877595	-0.323688025730805	-0.346522817664848	-0.460054488896953	-0.333408629853861	-1.57604502970707	-0.525922606184448	0.275346599951182	0.363071696923654	-0.168139186972708	0.278577214930936	-0.188836212911248	-0.425754369022895	0.210350844572167	0.0735625800436774	0.055568917381965	0.0646664058561068	0.19485923090071	0.453749403432519	0.457027950385266	0.506608783249611	0.226465573892539	0.844471674485303	0.723299646758056	1.11917939810493	0.711987701131619	-0.148074863077682	-0.22910865662028	-0.00111543387999848	0.321984409673735	0.0507661336880285	-0.0726970423483038	-0.0507058531389438	0.071971238540298	0.782025900069536	0.711316653509711	0.897426918248384	0.451161076890877	0.672079540417336	1.90863816609499	1.39883370133747	-0.14599461544977	-0.0286187999835973	-0.0706072083257918	-0.460418771891703	0.863452735790679	0.831127413203949	0.112770933952258	0.746632931211229	0.436072091792562	-0.0942089118277296	0.21222019151891	0.373616730982197	0.425852995150376	0.553467080047934	0.848354164297768	0.485882998127276	1.40351186190162	1.4397963654576	2.27579707922423	1.82188129497698	1.08712249456696	1.78737027442175	1.98839696915596	1.10545168103962	1.42414178307797	1.81517081875791	0.0216905988702487	1.07914661426086	0.97883458118033	0.306416104845487	0.732790177410744	1.23460917546757	0.662263072348294	0.88269262975022	1.5041977643715	1.30614285196288	1.43355562257387	1.52176962567087
DLG7	-1.38274041560464	-1.65768598913949	-1.62588814213638	-1.26871984574805	-0.888502617586953	-1.51184859415564	-1.16488103949467	-1.05904953020617	-0.863736165579155	-1.44629815336259	-1.9078461325424	-0.569964292893551	-0.791182796977	-0.914711407029688	-0.67474251629206	-1.56164719190925	-1.30196951924818	-0.684089242432934	-1.2835227825803	-0.85579382062493	-0.461390444666261	-2.23154650700294	-1.756002161267	-1.99010681164416	-0.436661948906751	-0.296394633359136	-0.996459676779567	-0.224268272550218	-0.104800981064326	-0.712129420855557	-1.01998306165594	-0.872523037057783	-0.755105382979433	-0.639917658487991	-0.991753101991877	-0.0995630188006079	-0.306538440714054	-0.496983916498158	-0.436045159872073	-0.788668195527932	-1.19395552568313	-0.729911923178396	-0.640989922502122	-0.897061751575855	-0.503018959975921	-0.567762830492858	-0.444708673543767	-0.199729558032147	0.19456943824373	0.327757913485667	0.484374882983257	0.318724326393168	-0.0484264632948513	-0.00675050267483227	-0.11871194606181	0.0634116222851911	0.287657137169593	-0.120809028779711	-0.014664380442841	0.133203673824408	0.0346123188968124	0.297734521090008	-0.304934789223894	-0.0721016731643746	-0.00996729471722404	-0.111196608900822	-0.557097124723983	-0.595205198004947	0.236643939470771	0.149762087139967	0.244140298507614	1.12986833042788	0.520936239146494	0.815135119625336	-0.236120111078089	0.222770930721575	0.312214829811808	0.203489156591366	0.232051233427946	0.985264513513387	0.617696205094202	0.938758620298743	0.0963481567369408	0.417960937541656	0.574046519563217	0.0537138008476545	0.448126665868396	0.251038846633925	0.657588222044694	0.754224830185467	-0.263951530135128	1.01427257626735	0.770878134121745	2.15558849509568	0.767044553044676	1.09108653373981	2.60238098275361	0.623285262654583	1.43359422922697	1.49979941530299	2.67898618086048	1.547937427194	2.46642170138666	2.15237170305329	1.57029365743553	1.15707347138818	1.45413804861275	1.05880474457103	1.48147603644204	0.67631963057473	0.544924588064392	1.13883549408588	0.898268792437719	0.888912577234773	1.34656055190301	0.208176753254912	0.873654165423072	0.563826799711723
TPX2	-1.50884722034769	-1.21524641897975	-1.46625408440391	-1.51099611396547	-1.08320675917254	-1.40725803997153	-1.32827446974928	-1.24333217704976	-0.884560781028909	-0.165676103452964	-2.1717386742672	-0.866337412444898	-1.10336319363106	-0.581078822545133	-1.41766469072316	-1.18766738691569	-0.932587145814165	-0.60349675640054	-1.56569437116228	-0.878892956814314	-0.106877119134008	-2.12423780311774	-1.68500019411651	-2.46376299472777	-0.892734083828432	-0.383408761153687	-0.819408954005847	-1.0195375749076	-0.591269645553492	-0.879615510563526	-0.646943819502481	-0.669690186880259	-1.31125222947564	-0.94117333647038	-0.73705659422558	-0.24001468528743	-0.577935244545316	-0.44126936398016	-0.630897495981031	-0.614785485755105	-0.506561948227095	-0.829252575861988	-0.675470616873951	-1.06198995362751	-0.466277230754819	0.0302485683624645	0.388851055714664	-0.299264092722778	-0.113183042763492	-0.343283568535134	-0.655079587042305	0.0970144115525963	-0.575523604109636	-0.170302324210903	-0.211544190805511	-0.00853473872183895	-0.108950942232396	-0.0908683308722567	-0.0708338860077546	0.0277993926670845	0.0530043195551663	0.17126853905274	0.399661210508064	0.451366030743851	1.41821801770831	-0.433931220708947	-0.0717159646106881	0.359432795925337	0.505904763086937	0.0532482987432108	0.0614591368024339	0.196332708716948	0.244387224946978	0.571948052527858	0.445932801902378	0.483561899750927	0.820994500632722	0.960616282899198	0.642504956947619	1.1994719079957	0.909258663815628	1.81886937973865	0.0470080618182015	0.191049620914272	0.545288634326428	0.475829636252872	1.13462974686516	0.43609856386116	0.995533458234473	-0.0733018293329836	0.325435234452695	0.55268308048719	1.30381054614483	0.575870487166434	0.270905885924536	0.399070030167799	2.9445518181207	1.47026065528139	0.994210340330073	0.991986376192889	1.51352004208483	1.55368276996308	1.11324403265148	1.18954383180524	0.838129346685453	0.801063277732392	1.09278731611536	1.33144588109845	1.44562814110372	-0.123017280804708	1.32001639452001	1.40311945949426	0.801945356335326	1.48208426208667	2.17489131798652	1.02626545211328	1.00470144541603	1.7302861668483
CDC20	-1.58179818641766	-1.6356883972074	-1.88624435039853	-1.15196817116385	-1.14657562092896	-1.77164559959535	-1.43898736324689	-1.0800792652184	-1.12317025891471	-1.6949640999202	-1.49563031564868	-1.33493373031141	-1.29923278909668	-1.18633509144351	-1.30454063958965	-0.999134545200484	-0.662438954487683	-0.318713285196416	-1.11537082434724	-0.77136282258294	-0.0521349641607981	-2.33157441842173	-1.93330917365275	-1.88927942448361	-0.798374981940155	-0.56094748874496	-0.469747041644207	-0.78514064726684	-0.883978187763074	-0.859259979749233	-0.683811522696109	-0.200472445491146	0.0308425496629339	-0.21402440419662	0.125515686181965	0.00811478558396015	-0.392112669872582	-0.492404222604924	-0.223171976322817	-0.354273060174638	-0.601864522398939	-0.0162646234622435	0.229936351332382	-0.22756930459027	0.28853445610991	-1.29626829812985	-1.13161905817016	-0.827257593931199	-0.266961742889883	-0.27759156049949	0.245492870596376	-0.163501008147771	-0.109229648519438	-0.224061323612863	-0.561921535776916	-0.270265032824343	-0.424602079206593	-0.343099752554446	-0.207213133284754	-0.580619003803376	-0.498841402990024	-0.470636388934254	1.71084075549684	1.17318091048076	1.93162474940687	0.749830425483	0.303928634201911	0.241610799092202	1.01674754548626	0.848519741430893	0.513680486728268	0.287059268938325	0.505824585666188	0.481487526490939	0.255000416625686	-0.0377148331007539	0.526519555939341	0.045933220346427	-0.37703611581274	1.14690987386525	0.172756967231832	0.96810166038306	-0.429408789559941	0.333051228795031	-0.0204007941921439	0.199959701008344	0.218678343970281	-0.193357667170771	0.000894132586199175	1.62374118756686	0.632034259422752	1.20668671671768	1.00064753621168	0.632246008777525	0.523639764714428	1.03161235019132	1.45257712579197	2.47123268848686	1.75283771086016	1.33035539821697	1.43147277343292	1.47996337567595	1.91108506199388	1.26828460402116	1.62931725390921	0.884721822785259	0.359950455163035	0.518635421629958	0.364552474473436	0.557039696273964	1.0853472781209	0.709830972366371	0.976783383928755	1.24815429869407	1.77867113214247	0.766368050090775	1.39660471301363	1.09516538987054
BUB1	-0.984326228558328	-0.991588313171239	-1.02687645075243	-1.04593339523465	-1.47544760548773	-1.13102419542018	-1.27043114506111	-0.87047641600135	-1.11288345019192	-0.912322611400311	-1.59473674835238	-0.738032580690468	-0.969715261508449	-0.858045038755612	-1.0971730440373	-0.772491316841766	-0.500592310876593	-0.914945834527418	-1.14418853206908	-0.219936368884165	-0.688702484017114	-1.47831193368166	-1.49970277521079	-1.41100504322549	-0.720113652123685	-0.297765084456787	0.0204068059343397	-0.738910203133728	-0.87359149346479	-0.849876399091422	-1.04934744298096	-1.15332159200059	-0.593909615942354	-0.645129976339653	-0.929093879848984	-0.899129342143391	-0.384418245475376	-0.788307809225794	-0.281331363101675	-0.768479328529721	-0.697401554828329	-0.707817293715371	-0.525300758125299	-0.66999273083113	-1.0037592969448	-0.376567864499401	-0.546614446033043	-0.798357068411255	-0.512589699002038	0.141171511807993	-0.314873899999022	0.266845116842299	-0.445466048396653	-0.488836027817977	-0.401970694340577	-0.128084982624727	-0.17677856192165	-0.0733734208597345	-0.35686475843808	-0.0596497204557892	-0.39934747121347	-0.401179869721376	-0.146245016258339	-1.06645625852319	0.506387822838929	-0.486097074258792	0.463172150660376	0.0199245958006806	0.738562357993243	-0.271012066241365	0.225095363470071	0.188360595487899	0.666095819106913	0.610632009533412	0.041633696018026	0.0613464462820209	0.0744722061202289	0.531105914290309	0.0268587775227028	0.367135180440776	0.66057933517785	0.722929105460006	0.0767868147617937	0.155917497695297	0.303589529027143	0.212220352901365	1.18912021847922	0.833731349972258	1.01211052261553	0.663520816993172	0.211834584794438	-0.530836530459709	-0.142416267797084	0.254693421474083	0.065300569378028	0.115402202265237	2.8740202907011	1.10953625802007	1.91312980156074	2.3598782019908	1.26874275574905	1.74260100989344	1.53708305092782	1.3570643638301	1.35638926964298	1.60421634573588	0.743500189761916	0.847811885875111	1.1638041864621	1.85506205726548	2.80068577357419	1.2151306330888	0.939557185905143	1.73934126938991	2.24535329524671	1.49575764247321	1.9738979226045	1.83999781268996
TTK	-1.46643170971019	-1.65502445186219	-1.41654040706723	-1.3117631656189	-1.3560777800112	-1.16134989422661	-1.59548996191981	-1.64826792829759	-1.73511167297374	-1.49875133174391	-1.57120895115853	-1.11767239090384	-0.903752517345517	-0.868593424989532	-1.01036243631487	-0.716551980863987	-0.858840119727469	-1.2735207703091	-0.918815081520396	-0.556283151815766	-0.0703640449772804	-1.71868049983467	-1.24265627849592	-1.39547641392868	-0.805826186286901	-0.913238393269749	-0.421490899980305	-0.31400003730986	-0.808358899427534	-0.978813640019603	-0.832325287438425	-1.25239385262047	-1.12693016533404	-0.916754302505348	0.21838098419234	0.511105991154383	0.204215094856069	-0.2734844926285	-0.6513542814146	-0.0518878239606792	0.313971241329316	-0.114025817162531	-0.213226370360223	-0.212801629647198	-0.717889127553141	-0.146313976921216	-0.903217658669855	-0.693969932954808	-1.04387762480007	-0.486720061704731	0.279291948667675	-0.305638937718269	0.0319591390180231	0.311973386864345	0.00384759627075428	-0.276434080913398	-0.577488725191994	-0.204794480649794	-0.227337200715175	-0.0911055497966836	0.26234951355922	0.152278744335584	-0.510544869477947	-0.66091094745767	0.256206504357873	0.916819893349921	0.341681640069838	0.516147820729368	0.322049180445557	0.455700924810858	0.44984107608486	0.0976130414554741	0.375692359386903	0.911148818274157	0.764573944436623	-0.00872944817605064	0.410930107430485	0.612343726660844	1.03013914247132	1.86130165888056	1.32114158987499	1.90676464631179	-0.835227682310766	-0.23732647304003	-0.497291386117805	-0.141036180283438	0.420958707599138	0.723602196767198	0.606507474641126	0.25858977169207	0.673726625261763	-0.0807151334650827	0.185038838219852	0.548970839163714	0.779896072380573	0.016739263467949	2.59169837390891	1.9485780098385	1.92754547897499	1.89829342875756	1.30475761014847	1.05548987058393	1.43775651230672	0.755221783181306	1.7471722561769	0.267352015290407	0.890918575424135	0.115404957989979	-0.0247358806020979	1.38630782704933	2.08801881281096	1.32218771052003	0.56846958411908	0.792048376114352	2.04489976487013	1.31359850943441	1.46604896313546	1.65053587839488
AURKA	-1.43577215259723	-1.06860825673212	-1.0826688030578	-1.70816668716522	-1.77118790130072	-1.77377343386093	-1.2048192282523	-1.11233390631932	-0.452584567907188	-1.03191744838649	-0.767151605294754	-1.08138974101388	-0.787963771980847	-1.24838042700528	-1.2009272251758	-1.1860078800492	-1.01277719851495	-0.843913600244953	-1.87618062279175	-1.08483407237501	-0.897076900484802	-2.07938703694104	-1.93925665387199	-2.26308775492053	-0.546367224198999	-0.833516653059363	-0.0348885851497274	-1.12308716364572	-1.12064780960481	0.0570577034933115	0.474443056897248	-0.275461883296437	-0.103254451397328	2.35486525692582	-0.101664759999883	-0.211435691840712	-0.14820434608371	0.0593965598021963	-0.778370806651436	-0.399320769935316	-1.07712315548166	-0.0312798029543771	-0.61120653366836	-0.177741543140839	-0.0354367545971218	-0.0118289237293149	-0.0067309478685422	0.290066263265972	-0.408858918319987	-0.335459029313809	-0.360948908617673	-0.2360576361862	-0.374433877023588	-0.264690353655128	-1.14821159665132	-0.395940391676381	-0.125007642301449	-0.393354859116169	-0.235911457666895	-0.746668340277097	0.199216313517724	-0.403824895561411	1.42077538240744	-0.609123489768259	-0.34545398557131	1.45422285485599	0.423984059264548	0.255869625905986	0.393396204099911	0.490778506429616	0.61625449293831	0.955900282544193	0.0682403602201678	-0.138657061541583	-0.308178463148457	0.369797509389561	0.0283153521349053	0.305031289179853	0.285178419026701	0.154613592814691	-0.307082124253667	-0.178134397911472	0.221983617899525	-0.215674868900566	0.468705550014515	0.552273982269869	-0.0868824572351335	0.393387067942455	0.518287476531385	1.48956151189805	2.2485203841312	0.693409342659143	0.663360520784446	0.988251416097949	0.944142047897573	0.927030024981394	1.02764652705073	2.3244418525954	1.55855777301015	2.48651728587516	2.20082964220785	0.923686191352285	0.690997397090606	1.38015602635548	1.28016991915065	1.46620949343902	1.55600878507976	1.54258776977605	1.55326793784279	0.853118511157648	0.681404431761195	0.427474071412961	0.275530636752551	0.0644031740884035	0.834361979899286	1.01602533476596	0.631064204175428	0.615514464184327
CDC2	-1.38621251544292	-1.37970657419949	-1.96629908662676	-0.838842871806976	-1.2063208997955	-1.19362729357091	-1.39369200760623	-1.04300773298564	-1.49691648831311	-1.68684316728854	-1.46016494108765	-0.794190584424021	-0.493054434985394	-0.655946353801073	-0.998982637060685	-0.865400217573315	-0.344381976239887	-0.536817421047304	0.237586169317948	-1.87720045532467	-0.920078207217724	-3.45290198021686	-3.53942631822119	-2.13649263734154	-0.616657957543996	0.104780718353174	-0.551551739777026	-0.129685915206753	0.166816506295908	-0.941608660253531	-0.622040570802947	-0.195091687102916	-0.721445736362609	-0.307237264219853	-0.717354950285806	-0.507067951591744	-0.709145294932588	-0.224494797096596	-0.553143121088368	-0.149287988535873	-0.41350409155136	-0.0870556181958562	0.202557058335345	-0.726332213095084	-0.400398598399131	-0.0966413503300581	0.013351181483298	0.79519681974571	-0.494177762969872	-0.627338934463063	-0.301171293103678	0.29517545065546	0.147785458025562	-0.0141984373359959	0.0570299179463714	-0.0707205570882554	0.417402896433077	0.158644295208839	0.361517329205353	0.404465902478518	0.277904282894129	0.0224501381575601	0.714579314726421	-1.21624363032504	-0.310803830570566	-0.278002653423842	-0.370181075616704	-0.270841437522803	0.114825142747705	0.125094232739131	-0.171249050632395	1.60610856960646	0.785405144147686	1.07883713582611	0.634645167564359	0.822634105766555	1.62295848937361	1.13014514151709	1.3970759538284	1.47982778201819	1.68446069652372	0.786154029470671	0.0543807361163141	0.217441154129663	0.348926694712677	0.65066195240969	-0.524414007885373	0.16364310473976	0.282687787894693	0.844791750260361	1.52270146675905	0.614406541710701	0.787146302523626	0.232166111792846	-0.083526496111292	0.111651741191558	1.00190789102252	0.9313441714643	0.745208724436491	1.22967200094174	0.536625439852217	1.0133190311315	0.468645374658294	1.73014270122577	1.1290686188653	1.48750385657878	0.387232178983337	0.476181033220827	1.05286017618508	1.59216058046587	-0.111946694118556	0.262683188704467	0.553859163347399	0.963162436624608	1.75448147422277	1.61228687352108	1.32729856385931	1.44940431577194
BIRC5	-1.74828262812178	-1.59330442333827	-1.80138833660343	-1.51893130257982	-1.64566464159044	-0.987061717176164	-1.03094512517859	-0.735278674392275	-0.303572821168985	-0.577929978204931	-0.81051455350618	-1.19501160972591	-1.03326535881414	-1.29398590805701	-1.50752278918045	-0.627283106655068	-0.902511398341187	-0.595670970407476	-0.798042250678235	-0.577410647932713	-0.0720939167698775	-2.19119596367132	-1.70908994515875	-2.08835181718273	0.0184705816691731	0.225867638767848	-0.580752789523277	-0.510249516922326	-0.111454125627174	-0.129320762250417	-0.0953632634831295	-0.0333284248372168	-0.329991654694398	-0.0197755799912691	-0.6346039882344	-0.766262588536378	0.0111915815634081	0.0229686519301582	-0.353562548017325	-0.299769983369195	-0.631018934097152	-0.971163509810522	-0.669575018661983	-1.70330192551193	-1.35368376047794	-0.505290750452115	-0.39344208714684	0.218890185271759	-0.129856845112061	-0.779497134183224	0.288966266842337	-0.0446866804683074	-0.435373818481088	-0.184361394810812	-0.401416319713801	-0.419793910314547	-0.603335280070048	-0.287884021171173	-0.26204315198097	-0.360313841556159	-0.689418460837539	-0.946419935227748	-1.32397304313024	-0.150563045643076	0.529148141448453	-0.0277665651476562	-0.648156833080347	0.0948791420429259	-0.357306751754122	-0.372375705943158	-0.232282176864993	-0.571245695023803	0.0967219268798287	-0.181186779114512	0.0210169752619843	0.272674373625175	0.254891499949065	1.49504381371096	0.868337819564519	1.21695082923293	0.770787491334665	0.390017886262306	0.814042677233596	1.00680634746832	0.131600818065567	1.08598746139214	0.33177750912147	0.45995157082276	0.541385908024429	0.951413910529974	1.6790542559704	0.418991489675243	0.0952476990103066	0.121574393293875	0.55332212799073	0.922348167875191	1.06981283630097	1.10308347890177	1.19648754124859	1.80009171457605	2.21694639727284	1.98567690024157	1.66911159414584	1.31651146819395	1.84520643790131	1.8378352985537	1.04410598782617	1.00105183300036	1.66076042831678	0.451148085079193	0.216067373953412	1.46303799161184	0.907723157305955	1.39977183764309	2.19567060870133	1.5685876812928	1.28024211208582	1.70621857972528
PRC1	-1.4214762831171	-1.21996900008837	-1.93852068429412	-1.62602936185408	-0.931523914636323	-1.5008499022049	-1.26815293940094	-0.806948126208594	-1.26189671037858	-1.07595682763649	-1.09376512866944	-0.668497046221037	-1.00246442969106	-1.29980909239275	-1.38845729661019	-0.551558613398093	-0.811164678225128	-1.05868817208939	-1.46411742303267	-2.80991094593213	-1.87265649541981	-2.47757164545331	-2.18785519182274	-1.77058117979181	0.00677324071305503	0.240576934089676	0.311343665004899	-0.633978028194148	-0.0783535480458935	-0.967250275106126	-0.431876220477621	-0.0694265311952722	-0.339907824542173	-0.589224039003481	-0.0685941966323563	-0.380262331043137	-0.6376183485902	0.00617871602525726	-0.255860326754919	-0.233926939042019	0.143577944642095	-0.500008749699218	-0.697107403504587	-0.609794593201276	-0.455821845595374	-0.959658652169634	-0.166809675056507	0.509924057262932	-0.171968320039858	-0.366313867214041	-0.818353853680649	-0.695159191835342	0.117656668254122	0.0322006042834717	0.340210125230884	-0.0417948530131744	0.223097908268429	0.243165403115011	0.481963103869132	0.0899975504710504	-0.275991847337109	0.206478656611074	0.818509809830826	0.267120174766422	0.271464778254173	0.452392360551449	0.0920646670778538	0.419748381924535	-0.493011651450524	-0.307602267660621	-0.0410722768541587	0.751209615172144	0.152459228824424	-0.538131501987527	0.516537001097972	0.0217369697782348	0.160059998294574	0.204631056812072	0.378543247793337	-0.0385569800980932	-0.485923087865246	0.28540409554961	1.03870346112371	0.2590071994114	1.26251913974534	1.33905733339903	0.272836758302936	1.00265697197587	0.54932732426342	0.00805375542523296	0.384534227339605	0.454505209826544	0.33315814778024	0.233177388360012	0.617990352437206	1.04805121852262	1.13904093535662	1.14079706981904	1.07941468243736	1.44022714219485	1.21502119045714	0.831488741092128	0.837626065176931	1.3529875041608	1.73757180489654	2.44597083674144	1.46912104202181	2.57447963464229	1.46714539075159	1.43191294309934	0.384689718411797	1.20055137420952	0.753670032726261	0.881876995016383	1.81165872752977	1.32503569730066	1.0858721352002	1.70301620073501
