Symbol	Distance from center	Core Coherent
IL2RG	0.0329562909151657	Yes
LCK	0.0357672359136104	Yes
PRKCB1	0.0390461123597368	Yes
CD48	0.0520169257312499	Yes
NKG7	0.0581456347737832	Yes
CD52	0.0639710619618463	Yes
PTPRCAP	0.0657055767964656	Yes
GZMA	0.0714178194048808	Yes
SELL	0.0861324936349371	Yes
KLRK1	0.106091730102943	Yes
CORO1A	0.110533767303391	Yes
EVI2B	0.136126836110943	Yes
PTPRC	0.144532351036265	Yes
CD79A	0.148477555144227	Yes
CCR7	0.162634347021821	Yes
CD69	0.164218252998224	Yes
LAMP3	0.167788005346517	Yes
CD19	0.172514903754593	Yes
CSF2RB	0.198233733859915	Yes
MS4A1	0.211961538434812	Yes
GZMB	0.234618333721688	No
EBI2	0.240374431780842	No
TNFRSF17	0.255900786482625	No
CYBB	0.346327929552008	No
LY75	0.381447167742767	No
HLA-DRA	0.407744939772124	No
RARRES1	0.453246865653249	No
LAPTM5	0.465378351389876	No
ENPP2	0.477472958220563	No
DARC	0.502122987260703	No
ICAM1	0.518272708097933	No
CD163	0.518471059895913	No
CX3CL1	0.608168676443169	No
ART3	0.628943194108608	No
RGS1	0.646277096108819	No
KCNN4	0.663666439126817	No
EGFR	0.694097214545931	No
MET	0.694490785639802	No
PROM1	0.700438256054194	No
CD47	0.739290788771743	No
GABRE	0.749745104934506	No
MUC16	0.754717381625982	No
DKK1	0.781578579761703	No
CD24	0.78306081649481	No
HLA-DRB4	0.793652329571007	No
DLK1	0.797867098348036	No
MALL	0.800562375423828	No
GABBR2	0.80111442212798	No
PTPRK	0.806443640655042	No
LY6E	0.810587489636977	No
TTYH1	0.811405870767771	No
DMD	0.826245667740466	No
GPR126	0.829114094267451	No
BST2	0.836860861328855	No
DSC3	0.85996494536592	No
KCNK1	0.860350655187498	No
TM4SF1	0.869962629206283	No
PSAP	0.882600649681232	No
CENPF	0.8843381466067	No
FOLR1	0.887075888851298	No
GALNT3	0.891528154587135	No
CLDN8	0.904868651709902	No
TMPRSS3	0.912171595806566	No
TGFBR3	0.914797965036645	No
CLCA2	0.931690602393782	No
FZD6	0.932152400124886	No
TNFSF10	0.932772984344357	No
LAMP1	0.934193741254943	No
EIF5A	0.934586263409683	No
DST	0.939188877407116	No
GNAS	0.943045183661839	No
CD36	0.948075750683969	No
OPN3	0.949207775245412	No
STEAP1	0.95700748544774	No
SGCE	0.968848100920596	No
TACSTD2	0.979473007011961	No
CLDN3	0.987789803939793	No
PLEKHB1	0.997819528196655	No
SDC1	1.00212520976119	No
ANPEP	1.00861667779877	No
SYPL1	1.01312192278052	No
BAMBI	1.01424310520957	No
CXADR	1.02418859641693	No
GPC3	1.04587854659924	No
KCNK3	1.05274676452987	No
DEGS1	1.05406418927501	No
ITGB4	1.05412639658514	No
CD164	1.06132364310386	No
RAMP3	1.0663498660178	No
EPHB3	1.06868144891839	No
TUSC3	1.07257809490749	No
GAS1	1.08630262401557	No
TMED2	1.08910770230637	No
ADAM9	1.09822504324774	No
TSPAN3	1.1033883685774	No
NTRK2	1.10634368178776	No
PSCA	1.1142652807524	No
CTGF	1.12128219959538	No
SLC12A2	1.13422358254848	No
RTN1	1.139668295956	No
MAGI1	1.14660976154444	No
TRPA1	1.1562180434078	No
IGSF1	1.16035066449116	No
SLC1A1	1.16421804694682	No
FGFR1	1.16543891945146	No
GHR	1.16955552463858	No
SORBS1	1.18705327088463	No
CEACAM6	1.1891348327827	No
PTPRN2	1.19251304607426	No
TMEM47	1.19749042185492	No
EVL	1.20759770638819	No
AMFR	1.21422338585841	No
ASPH	1.21899184360334	No
SLC4A4	1.22551625141028	No
CX3CR1	1.22638901246975	No
CEACAM5	1.22828971430201	No
SLC16A6	1.22900842842405	No
GPC1	1.22946226845407	No
MIR16	1.23085561864669	No
BCL2	1.2338144103475	No
SERPINA5	1.24138737707326	No
ATP1B1	1.24679862132407	No
KCNJ3	1.25385017603199	No
AGTR1	1.26396103243838	No
IL6ST	1.26449350199646	No
GRIA2	1.28011772111547	No
FGFR3	1.29946711489432	No
IL17RB	1.31982031584894	No
CPE	1.32007294362842	No
CACNG4	1.33023082518228	No
VIPR1	1.3314140993492	No
GJA1	1.33540282269102	No
NPY1R	1.33662518750936	No
MUC1	1.34463065403787	No
PTGER3	1.38288989781795	No
GPC4	1.38467076407405	No
ENPP1	1.38876929166659	No
HPN	1.40460514024797	No
GPRC5A	1.44014812906919	No
SLC7A8	1.44363588851588	No
TSPAN1	1.45223162330935	No
PTPRT	1.47113799722862	No
FXYD3	1.47422222546641	No
MAPT	1.47675580462652	No
BAI2	1.48174890800845	No
RAB26	1.48203222124079	No
BCAM	1.4979616749202	No
CELSR1	1.52037053804904	No
CA12	1.53518459027422	No
