Symbol	Distance from center	Core Coherent
TPX2	0.0658308573675697	Yes
DLG7	0.0880056382132031	Yes
BUB1	0.0929032959842175	Yes
CENPF	0.092948456194243	Yes
BIRC5	0.108647056088675	Yes
CDC20	0.111854313785526	Yes
TTK	0.11185508200943	Yes
PRC1	0.127156990440536	Yes
CDC2	0.139734191379408	Yes
NEK2	0.159692135698739	Yes
TOP2A	0.176499211574506	Yes
AURKA	0.203682819393267	No
MID1	0.547508470658892	No
LCK	0.765017272894191	No
DNALI1	1.32322491676739	No
KIF5C	1.33669380706662	No
PPP4R2	1.38601026829872	No
MAPT	1.49319311662421	No
