Symbol	Distance from center	Core Coherent
CENPA	0.0585272004353425	Yes
TPX2	0.0623745362568326	Yes
BUB1	0.0767207328506941	Yes
DLG7	0.0850210743560487	Yes
CENPF	0.1011999445639	Yes
TTK	0.10398606549516	Yes
CDC20	0.111959355266595	Yes
BIRC5	0.112948190258403	Yes
MAD2L1	0.11963071022662	Yes
PRC1	0.170634758286356	Yes
NEK2	0.175087288659474	Yes
CDC2	0.188371989816702	Yes
TOP2A	0.20109673914487	No
AURKA	0.218743925607493	No
CDKN2A	0.508520104801613	No
MID1	0.521621605529089	No
PKP1	0.574765203017493	No
OASL	0.714079188421928	No
DMD	0.720056913199592	No
LCK	0.729832267873368	No
CORO1A	0.80245282289621	No
KRT5	0.807562072399225	No
KRT17	0.820020461284219	No
DSP	0.829796321033374	No
CDC42EP3	0.841942350646444	No
CSTA	0.851287300079825	No
CTTN	0.862066444277233	No
KRT15	0.866012955069488	No
SORBS2	1.04875952695973	No
PDLIM5	1.05216509771489	No
KRT19	1.07626821937432	No
ZNF238	1.08479551376596	No
TPM1	1.15915164667631	No
SORBS1	1.22792114573579	No
JUN	1.28931452693843	No
KRT18	1.29158676070219	No
KIF5C	1.35025137553531	No
DNALI1	1.35442309122738	No
PPP4R2	1.38855420105476	No
MAPT	1.52321820612554	No
