	786_0	A498	A549_ATCC	ACHN	BT_549	CAKI_1	CCRF_CEM	COLO_205	DU_145	EKVX	HCC_2998	HCT_116	HCT_15	HL_60_TB	HOP_62	HOP_92	HS_578T	HT29	IGROV1	KM12	K_562	LOX_IMVI	M14	MALME_3M	MCF7	MDA_MB_231_ATCC	MDA_MB_435	MDA_N	MOLT_4	NCI_ADR_RES	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	PC_3	RPMI_8226	RXF_393	SF_268	SF_295	SF_539	SK_MEL_2	SK_MEL_28	SK_MEL_5	SK_OV_3	SN12C	SNB_19	SNB_75	SR	SW_620	TK_10	T_47D	U251	UACC_257	UACC_62	UO_31
CCL5	-0.259637	1.25066	0.0791812	-0.200659	1.89768	0.127105	0.243038	0.045323	0.558709	-0.0362122	0.848189	0.619093	-0.00436481	1.96156	0.833784	0.485721	0.176091	1.44809	0.103804	0.170262	-0.187087	1.23729	1.09026	0.39794	0.921166	0.404834	0.230449	-0.0362122	0.710963	-0.0457575	1.76462	1.59517	0.00432137	0.636488	-0.102373	0.318063	0.781755	0.00860017	1.50826	0.117271	1.22011	1.33606	0.10721	0.152288	0.294466	0.819544	0.0827854	-0.0222764	0.100371	-0.0409586	0.466868	0.00860017	-0.0222764	0.212188	0.717671	-0.102373	-0.275724	-0.0222764	0.640481	-0.0757207
EPHB3	1.14114	0.921166	0.866287	0.536558	0.759668	0.837588	1.21669	2.18367	0.941014	0.829947	1.17667	0.880242	1.62665	0.778151	0.572872	1.00732	1.48799	0.815578	0.924279	1.06633	0.691965	1.3126	0.716003	1.62624	1.87495	1.32695	1.45849	1.27921	0.747412	1.35736	1.35449	1.31302	1.56182	0.724276	1.14706	1.15106	0.985426	1.24773	1.10619	0.940516	0.960946	1.5088	1.041	1.17696	1.50732	0.835691	0.657056	0.896526	0.888179	1.18384	1.5945	1.4442	1.36229	1.68646	1.35257	2.14104	1.57623	1.04415	1.61731	1.06595
MSN	3.06151	3.12698	2.73596	2.61461	3.0528	2.8791	2.96182	0.09691	2.76751	2.78754	1.28466	2.54738	1.10958	2.96928	2.82604	2.91652	2.97293	2.05884	2.50967	1.11528	3.04055	3.0986	3.06078	2.98855	1.13226	2.87318	2.9774	2.97056	2.84724	2.67816	2.87735	2.5931	0.498311	2.99329	2.51037	2.6186	2.86226	2.39513	2.55224	3.05601	2.45079	2.96749	2.83872	2.92597	3.10871	2.81637	3.01955	2.40178	2.79793	2.70382	2.95112	2.90309	2.84729	2.76056	2.68446	1.1784	3.12186	2.65742	2.85606	2.74025
APP	2.28135	2.588	2.04852	2.30406	2.48194	2.57982	0.726727	2.50094	2.4117	2.06179	2.43059	2.20777	2.21293	2.16224	2.06893	2.14836	2.32346	2.21511	2.48259	2.14129	0.683947	2.37883	2.50974	2.3375	1.73304	2.36197	2.36348	2.59804	-0.229148	2.06741	2.49332	2.33127	2.44317	2.2522	2.25193	2.46291	2.09132	2.67679	2.32909	2.24674	2.33664	2.73116	2.42708	2.3538	2.35434	1.83302	2.50458	2.40538	2.15174	2.13577	2.06896	2.52485	1.87904	2.27678	2.07033	2.65297	2.22438	2.21179	2.3175	2.64467
DSP	1.2188	1.89037	2.2686	1.81697	1.47698	0.97635	1.13609	2.90665	2.32636	2.53067	2.58349	2.56994	2.65914	1.16376	1.64542	1.35295	2.4326	2.62242	2.83823	2.41073	0.974051	1.10789	0.396199	1.21801	2.77945	2.35518	1.27921	0.900913	1.36361	3.06929	1.89126	2.7962	2.50055	1.39287	1.86558	2.98671	3.04966	2.24457	2.76117	2.26914	2.83374	2.40724	1.256	0.999131	1.2284	1.22194	1.36996	1.25479	2.69685	1.19089	1.67961	1.42846	0.955688	2.94926	1.2833	2.97061	1.981	1.9578	1.49596	2.52055
NDRG1	2.3542	3.24207	2.4851	2.22619	1.70114	2.5435	2.05273	2.20162	2.34364	2.04481	2.07602	2.45304	2.11584	1.7721	2.06748	2.50705	2.62227	1.53605	2.32609	2.91102	1.58013	2.10978	3.00569	1.7641	1.86314	2.44531	3.02527	3.06061	1.82789	2.25088	2.3641	2.20879	2.14107	1.87408	1.74749	2.36812	2.4254	2.10558	2.21514	3.14696	2.16014	3.34922	1.99896	1.97447	2.7288	2.31603	2.04646	2.04743	2.15189	1.88161	2.25924	2.72906	2.61817	1.75328	2.18879	1.87679	2.27033	1.76886	3.03872	1.91036
UBB	3.83449	3.79586	3.79539	3.64502	3.85109	3.86914	3.83496	3.47352	3.40618	3.70843	3.63034	3.70829	3.75478	3.49227	3.84308	3.70424	3.48395	3.46553	3.79773	3.74292	3.59018	3.58421	3.72469	3.65881	3.68794	3.49417	3.39562	3.26811	3.74896	1.17026	3.55512	3.61766	3.60416	3.71452	3.52753	3.54311	3.56322	3.67405	3.59175	3.68688	3.57673	3.57191	3.62435	3.53044	3.57479	3.74629	3.56701	3.74362	3.59024	3.83547	3.63516	3.52302	3.52195	3.72198	1.75236	3.34208	3.57602	3.59486	3.81267	3.64249
PTPRF	2.0703	2.06062	2.04336	2.19951	1.76395	2.24291	1.71113	2.02073	2.09597	2.16218	1.91908	2.01502	1.84004	0.267172	2.31723	1.9248	2.03523	2.01284	2.02649	2.01418	0.518514	2.05365	1.54667	1.2403	2.15079	2.16176	1.91782	1.7383	0.522444	2.11022	2.31294	1.85516	2.01376	0.822822	1.90162	1.77605	1.83238	1.67651	1.82569	1.64875	0.0211893	1.96322	2.08746	1.4929	1.67742	2.08433	1.36267	1.5807	2.18921	2.5895	1.84267	1.33284	0.38739	1.51904	2.39618	2.21059	1.82943	1.34459	1.88969	2.07445
MARCKSL1	2.45318	1.99012	2.45128	2.33778	2.87539	2.8169	2.80908	3.13502	2.01212	2.46685	2.91092	2.78825	2.56495	2.03177	2.65653	2.28008	2.55943	3.06171	2.89119	3.16531	3.03707	2.4394	3.15231	3.03434	2.72037	2.17167	3.15446	2.98899	3.09473	2.73547	2.0209	2.50745	1.78923	2.2284	3.17396	2.93631	2.87655	2.64354	2.5622	3.0328	2.36838	2.42103	2.59057	2.39058	2.4987	2.67216	2.9418	2.6949	1.71933	2.34799	2.56574	2.68836	2.19039	3.06901	2.43651	2.50794	2.92647	3.00831	3.02375	2.58301
S100A11	3.41103	3.64126	3.32707	3.39465	3.503	3.52186	2.24032	3.5309	3.49562	3.54692	3.23589	2.74967	2.92793	2.48399	3.24599	3.46191	3.14746	3.43869	3.33369	3.57511	2.49145	3.23679	3.39587	3.21243	3.23593	3.19677	3.12533	3.17916	1.76945	3.01	3.28075	3.44336	3.43187	3.14861	0.155336	3.00213	3.33614	3.23283	3.50446	3.12934	3.37456	3.56262	3.17568	3.12374	3.20296	3.05633	3.12709	3.22682	3.42333	3.21909	3.20854	3.22687	3.28212	3.10584	3.44424	3.35736	3.09888	3.1007	3.27349	3.36573
SPARC	3.0588	3.3974	0.902547	3.19874	3.12051	3.46603	0.699838	0.10721	0.198657	1.12969	0.235528	0.507856	0.158362	-0.0222764	2.68024	2.82394	3.38223	0.045323	-0.0861861	0.431364	1.69294	3.02523	3.333	3.11253	0.444045	1.07151	3.10815	2.88248	1.72132	3.00178	3.25067	2.64258	-0.167491	0.32838	0.371068	1.13925	0.170262	1.27967	2.65598	1.26174	-0.124939	2.71777	3.04988	3.29706	3.40447	3.31463	3.19269	2.79951	1.36474	3.39289	3.15316	3.45525	0.262451	0.178977	2.73299	0.0128372	3.20118	3.16822	3.37853	2.77115
LITAF	2.965	3.27499	2.97459	2.63807	2.20661	2.97512	1.59273	2.54695	2.45668	2.96597	2.10226	2.51971	2.52768	2.56793	2.64122	2.46392	2.28171	2.75052	2.52085	2.17464	1.83929	0.625312	2.90409	2.13751	2.45679	2.27019	2.74059	2.82418	1.9541	2.73171	2.65554	2.78754	3.21761	2.69202	2.32707	2.34976	2.70443	2.63104	2.76873	0.940018	2.93475	2.74167	2.38137	2.43832	2.47743	3.25663	3.12492	2.67144	2.99203	2.84257	2.51779	2.39277	2.32848	2.08888	3.06684	2.69246	2.50259	2.87716	3.04906	2.9089
GPX1	3.08778	2.94246	2.57557	3.07096	2.57817	2.97802	2.63439	2.78711	2.68904	2.89409	2.81227	3.06163	2.83165	3.0244	3.15836	3.21546	2.90829	2.8543	2.90419	3.08796	0.385606	2.82563	2.98482	3.1999	0.701568	3.05468	2.81531	2.95799	2.46581	3.00482	3.16862	2.84006	2.04634	2.80048	3.02736	0.209515	2.73113	2.74775	2.79521	2.89617	2.60938	2.72768	3.00397	2.88529	2.91265	2.68874	3.16164	2.10356	2.86688	2.74468	3.19919	2.90774	2.87558	2.94538	3.00968	0.281033	2.95894	2.98304	3.0635	3.11621
CALU	2.40666	2.91527	2.25861	2.55866	2.47991	2.81331	2.0596	2.11414	2.21751	2.46801	2.32513	1.98141	2.18156	2.01376	2.70068	3.04858	3.07396	2.06431	2.32919	1.92459	2.44414	2.37678	3.10736	3.04764	2.29097	2.77921	2.97026	2.95118	2.055	2.60407	2.60524	2.3944	1.79948	2.31906	2.16856	2.32013	2.49013	2.50406	2.38139	2.40746	1.98655	2.80956	2.80024	2.84174	2.95537	2.64237	2.96155	2.75496	1.99782	2.4298	2.77655	3.10115	2.31865	1.75282	2.11083	2.12235	2.5421	2.78375	2.71927	2.58362
DPYSL2	2.26349	2.57215	2.65747	2.64497	3.07517	2.55733	2.70186	2.49441	2.80447	2.28042	2.08874	2.05296	2.45495	1.60032	2.12415	2.42369	3.07475	2.25083	2.43894	2.59346	1.03383	2.1209	2.67577	2.14258	2.08418	2.67391	3.02043	3.01605	2.52678	1.67633	2.60363	2.28756	1.60584	2.83867	1.26364	0.816241	1.89126	1.8423	2.42001	2.18517	2.09646	2.45006	2.72132	2.47767	2.68066	2.43838	2.10988	2.1917	2.28562	2.37967	2.4747	2.74947	2.38124	2.74368	2.37038	1.97534	2.49251	1.98874	2.37027	2.3846
PEA15	2.8514	3.12667	2.42847	3.0823	2.99016	2.96012	1.96019	2.17595	2.74276	2.586	2.21171	2.24306	1.95847	1.85775	2.96644	3.09406	3.00092	2.3574	2.46401	2.04618	2.22608	2.93331	2.9539	2.91098	2.23042	3.05688	2.87925	2.82418	2.1184	2.7934	3.25541	2.75727	2.52749	2.35553	2.57483	2.92938	3.06409	2.83091	2.71497	2.53453	2.26715	2.92103	3.22651	2.76664	3.13702	2.96358	3.06236	2.39308	2.70721	3.11758	3.07197	3.29485	2.53002	2.15749	2.81337	2.66544	3.04948	2.74456	2.81241	3.04012
HSPA1A	0.049218	3.2199	2.99522	0.568202	3.17836	3.03509	1.54494	1.28646	2.5811	2.8149	3.07853	0.997386	1.58444	-0.259637	2.69	3.328	3.23172	2.89717	1.02284	0.947434	3.23035	2.96351	2.71068	2.67147	3.28109	2.54555	2.73869	2.95005	0.829947	3.04962	2.85092	3.35914	2.8513	2.93472	3.11926	3.1381	2.70812	2.94293	3.38603	3.13232	1.67715	3.19261	2.17733	2.74913	3.01797	2.83992	2.72464	1.08458	2.65338	2.74052	0.865696	2.68184	2.85162	2.12564	2.49769	2.48042	1.25624	3.01793	2.43664	1.07041
HSPA1A /// HSPA1B	1.68359	2.83036	2.64191	0.915927	2.5936	2.72595	1.00346	1.33405	2.10551	2.27524	2.62447	2.08077	2.25433	0.876218	2.31983	2.69227	2.78644	2.35706	1.84029	1.4915	3.00262	2.41236	2.34435	2.28262	2.93691	2.23644	2.40564	2.6258	1.40773	2.5311	2.30315	2.80055	2.30075	2.34719	2.47023	2.51688	2.13586	2.26998	2.83216	2.56942	0.758155	2.37315	1.81954	2.15091	2.53134	2.32754	2.23734	0.816241	2.15146	2.06781	0.305351	2.18173	2.42883	1.55388	1.78873	2.01616	0.305351	2.37356	1.83809	0.494155
GSTP1	2.14461	1.8275	3.21479	3.1477	2.8408	3.19904	3.10505	3.16016	2.51457	3.65673	3.51196	3.06583	3.43284	2.94121	2.71868	2.95777	2.82617	3.18596	3.37309	1.67449	3.06414	2.81452	3.24082	3.02948	1.77539	2.84458	2.91016	2.96705	3.08892	3.03747	2.91866	3.39186	3.08403	3.02012	3.12118	2.94646	3.48982	3.02082	3.41999	2.73773	1.75929	3.17727	2.84747	2.70017	2.39007	2.8463	3.06623	3.0501	3.3157	2.8406	2.8961	2.67566	2.98449	3.29174	1.58456	1.63859	2.98219	3.33682	3.04902	2.95327
CTSB	2.01385	2.22619	2.23852	2.01452	3.04479	2.80512	1.36021	3.17281	2.30963	2.03719	2.40004	2.1936	2.12512	1.92921	2.33304	2.31896	2.88389	2.18856	1.98905	2.456	2.09733	2.97206	2.88523	3.12963	1.79274	2.24905	2.2275	2.3429	1.4456	2.24055	2.278	2.15146	2.20755	2.04254	1.96914	2.39797	2.40069	2.14545	1.93242	2.17505	2.50258	2.18486	1.97142	2.62521	2.6786	2.53017	2.91556	2.7684	2.13443	2.4763	2.25122	2.79727	2.40921	2.33224	2.0803	2.29352	2.20674	2.44844	2.35261	2.3625
